testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/ltio/fio-jobdir,512,6,372,2232M,1m,write,3562.82,3562.84,0.094991,2285568,1024.00,0.016994,320.75,292.82,320.75,0,
/mnt/ltio/fio-jobdir,512,9,372,3348M,1m,
/mnt/ltio/fio-jobdir,512,12,372,4464M,1m,WARNING:,Task,443,,partial,write(),,241664,of,1048576,bytes,at,offset,4016046080
/mnt/ltio/fio-jobdir,16,1,372,372M,1m,write,741.41,741.57,0.004132,380928,1024.00,0.013161,8.03,6.98,8.03,0,
/mnt/ltio/fio-jobdir,16,3,372,1116M,1m,write,2707.98,2708.61,0.003540,1142784,1024.00,0.008578,6.59,2.64,6.59,0,
/mnt/ltio/fio-jobdir,16,6,372,2232M,1m,write,2027.90,2028.08,0.005760,2285568,1024.00,0.012233,17.61,10.48,17.61,0,
/mnt/ltio/fio-jobdir,16,9,372,3348M,1m,write,2303.21,2303.38,0.006946,3428352,1024.00,0.010214,23.26,11.67,23.26,0,
/mnt/ltio/fio-jobdir,16,12,372,4464M,1m,write,2482.69,2482.81,0.004082,4571136,1024.00,0.011160,28.77,10.54,28.77,0,
/mnt/ltio/fio-jobdir,64,1,372,372M,1m,write,3992,3993,0.007138,380928,1024.00,0.012528,5.96,4.97,5.96,0,
/mnt/ltio/fio-jobdir,64,3,372,1116M,1m,write,4548,4548,0.009081,1142784,1024.00,0.008271,15.70,12.95,15.71,0,
/mnt/ltio/fio-jobdir,64,6,372,2232M,1m,write,5920,5920,0.009305,2285568,1024.00,0.013318,24.13,17.89,24.13,0,
/mnt/ltio/fio-jobdir,64,9,372,3348M,1m,write,2728.22,2728.26,0.003777,3428352,1024.00,0.011698,78.54,67.87,78.54,0,
/mnt/ltio/fio-jobdir,64,12,372,4464M,1m,write,2987.05,2987.09,0.004697,4571136,1024.00,0.012626,95.64,81.16,95.64,0,
/mnt/ltio/fio-jobdir,512,1,372,372M,1m,
/mnt/ltio/fio-jobdir,512,3,372,1116M,1m,write,3905,3905,0.077362,1142784,1024.00,0.022178,146.34,137.78,146.34,0,
/mnt/ltio/fio-jobdir,512,6,372,2232M,1m,
/mnt/ltio/fio-jobdir,512,9,372,3348M,1m,write,3341.05,3341.07,0.078929,3428352,1024.00,0.022170,513.06,425.05,513.07,0,
/mnt/ltio/fio-jobdir,512,12,372,4464M,1m,write,3159.80,3159.80,0.099699,4571136,1024.00,0.015679,723.33,676.41,723.33,0,
/mnt/ltio/fio-jobdir,16,1,372,372M,1m,
/mnt/ltio/fio-jobdir,16,3,372,1116M,1m,write,2359.52,2359.95,0.003193,1142784,1024.00,0.007316,7.57,4.08,7.57,0,
/mnt/ltio/fio-jobdir,16,6,372,2232M,1m,write,2288.91,2289.13,0.003412,2285568,1024.00,0.009009,15.60,8.00,15.60,0,
/mnt/ltio/fio-jobdir,16,9,372,3348M,1m,write,2231.11,2231.26,0.003755,3428352,1024.00,0.010296,24.01,11.51,24.01,0,
/mnt/ltio/fio-jobdir,16,12,372,4464M,1m,
/mnt/ltio/fio-jobdir,64,1,372,372M,1m,write,4536,4537,0.007235,380928,1024.00,0.007863,5.25,4.30,5.25,0,
/mnt/ltio/fio-jobdir,64,3,372,1116M,1m,write,4591,4595,0.005075,1142784,1024.00,0.016253,15.54,12.80,15.56,0,
/mnt/ltio/fio-jobdir,64,6,372,2232M,1m,write,4398,4398,0.007075,2285568,1024.00,0.012317,32.48,25.95,32.48,0,
/mnt/ltio/fio-jobdir,64,9,372,3348M,1m,write,2765.17,2765.21,0.006154,3428352,1024.00,0.009507,77.49,65.44,77.49,0,
/mnt/ltio/fio-jobdir,64,12,372,4464M,1m,write,1937.98,1938.03,0.004489,4571136,1024.00,0.018317,147.42,130.49,147.42,0,
/mnt/ltio/fio-jobdir,512,1,372,372M,1m,write,5458,5458,0.029992,380928,1024.00,0.046335,34.89,29.26,34.89,0,
/mnt/ltio/fio-jobdir,512,3,372,1116M,1m,write,2491.42,2491.44,0.034648,1142784,1024.00,0.016671,229.34,213.22,229.34,0,
/mnt/ltio/fio-jobdir,512,6,372,2232M,1m,write,3663,3663,0.069952,2285568,1024.00,0.022892,311.99,274.00,311.99,0,
/mnt/ltio/fio-jobdir,512,9,372,3348M,1m,write,3502.63,3502.64,0.066651,3428352,1024.00,0.015214,489.40,382.59,489.40,0,
/mnt/ltio/fio-jobdir,512,12,372,4464M,1m,write,2948.25,2948.26,0.051880,4571136,1024.00,0.019618,775.23,656.82,775.23,0,
/mnt/ltio/fio-jobdir,16,1,372,372M,1m,write,2014.15,2015.16,0.004509,380928,1024.00,0.007983,2.95,1.72,2.96,0,
/mnt/ltio/fio-jobdir,16,3,372,1116M,1m,write,1934.98,1938.08,0.003640,1142784,1024.00,0.007522,9.21,5.27,9.23,0,
/mnt/ltio/fio-jobdir,16,6,372,2232M,1m,
/mnt/ltio/fio-jobdir,16,9,372,3348M,1m,write,1707.93,1708.01,0.004849,3428352,1024.00,0.008003,31.36,22.77,31.36,0,
/mnt/ltio/fio-jobdir,16,12,372,4464M,1m,
/mnt/ltio/fio-jobdir,64,1,372,372M,1m,write,3299.08,3299.66,0.004701,380928,1024.00,0.007765,7.22,6.25,7.22,0,
/mnt/ltio/fio-jobdir,64,3,372,1116M,1m,write,4600,4600,0.011795,1142784,1024.00,0.007422,15.53,12.68,15.53,0,
/mnt/ltio/fio-jobdir,64,6,372,2232M,1m,write,4091,4091,0.015639,2285568,1024.00,0.007941,34.91,29.31,34.92,0,
/mnt/ltio/fio-jobdir,64,9,372,3348M,1m,write,1582.87,1582.91,0.014194,3428352,1024.00,0.010168,135.37,125.82,135.37,0,
/mnt/ltio/fio-jobdir,64,12,372,4464M,1m,write,1194.08,1194.10,0.045243,4571136,1024.00,0.026610,239.26,222.75,239.26,0,
/mnt/ltio/fio-jobdir,512,1,372,372M,1m,write,3890,3891,0.033337,380928,1024.00,0.015643,48.95,43.99,48.96,0,
/mnt/ltio/fio-jobdir,512,3,372,1116M,1m,write,3660,3661,0.081007,1142784,1024.00,0.023948,156.09,144.07,156.11,0,
/mnt/ltio/fio-jobdir,512,6,372,2232M,1m,
/mnt/ltio/fio-jobdir,512,9,372,3348M,1m,write,3585.22,3585.24,0.049567,3428352,1024.00,0.019789,478.12,397.33,478.12,0,
/mnt/ltio/fio-jobdir,512,12,372,4464M,1m,write,3544.92,3544.92,0.068211,4571136,1024.00,0.019764,644.74,520.15,644.75,0,
/mnt/ltio/fio-jobdir,16,1,372,372M,1m,write,2144.72,2145.77,0.003962,380928,1024.00,0.009233,2.77,1.30,2.78,0,
/mnt/ltio/fio-jobdir,16,3,372,1116M,1m,write,2119.68,2121.16,0.005295,1142784,1024.00,0.011250,8.42,5.14,8.42,0,
/mnt/ltio/fio-jobdir,16,6,372,2232M,1m,
/mnt/ltio/fio-jobdir,16,9,372,3348M,1m,write,1784.25,1784.33,0.003992,3428352,1024.00,0.010588,30.02,16.90,30.02,0,
/mnt/ltio/fio-jobdir,16,12,372,4464M,1m,write,1995.52,1995.61,0.007414,4571136,1024.00,0.011089,35.79,19.32,35.79,0,
/mnt/ltio/fio-jobdir,64,1,372,372M,1m,
/mnt/ltio/fio-jobdir,64,3,372,1116M,1m,write,5387,5387,0.002915,1142784,1024.00,0.009847,13.26,10.21,13.26,0,
/mnt/ltio/fio-jobdir,64,6,372,2232M,1m,write,3182.96,3183.04,0.006793,2285568,1024.00,0.012303,44.88,38.75,44.88,0,
/mnt/ltio/fio-jobdir,64,9,372,3348M,1m,write,2629.40,2629.54,0.007805,3428352,1024.00,0.010379,81.49,72.17,81.49,0,
/mnt/ltio/fio-jobdir,64,12,372,4464M,1m,
/mnt/ltio/fio-jobdir,512,1,372,372M,1m,write,7824,7825,0.030169,380928,1024.00,0.015726,24.34,20.43,24.34,0,
/mnt/ltio/fio-jobdir,512,3,372,1116M,1m,write,2815.85,2815.87,0.042754,1142784,1024.00,0.016699,202.92,190.39,202.92,0,
/mnt/ltio/fio-jobdir,512,6,372,2232M,1m,write,2469.48,2469.48,0.093007,2285568,1024.00,0.016793,462.76,440.87,462.76,0,
/mnt/ltio/fio-jobdir,512,9,372,3348M,1m,write,3393.04,3393.05,0.097930,3428352,1024.00,0.017890,505.20,436.80,505.20,0,
/mnt/ltio/fio-jobdir,512,12,372,4464M,1m,write,3214.04,3214.05,0.107745,4571136,1024.00,0.025470,711.12,634.58,711.12,0,
/mnt/ltio/fio-jobdir,16,1,372,372M,1m,write,2364.10,2365.52,0.004446,380928,1024.00,0.007559,2.52,1.41,2.52,0,
/mnt/ltio/fio-jobdir,16,3,372,1116M,1m,
/mnt/ltio/fio-jobdir,16,6,372,2232M,1m,write,1729.53,1729.63,0.005736,2285568,1024.00,0.011071,20.65,13.14,20.65,0,
/mnt/ltio/fio-jobdir,16,9,372,3348M,1m,
/mnt/ltio/fio-jobdir,16,12,372,4464M,1m,write,2265.01,2265.49,0.004914,4571136,1024.00,0.015351,31.53,15.93,31.53,0,
/mnt/ltio/fio-jobdir,64,1,372,372M,1m,write,5452,5453,0.011736,380928,1024.00,0.010265,4.37,3.37,4.37,0,
/mnt/ltio/fio-jobdir,64,3,372,1116M,1m,
/mnt/ltio/fio-jobdir,64,6,372,2232M,1m,write,2226.05,2226.09,0.012339,2285568,1024.00,0.011119,64.17,58.74,64.17,0,
/mnt/ltio/fio-jobdir,64,9,372,3348M,1m,
/mnt/ltio/fio-jobdir,64,12,372,4464M,1m,write,2880.34,2880.38,0.010740,4571136,1024.00,0.009013,99.19,81.50,99.19,0,
/mnt/ltio/fio-jobdir,512,1,372,372M,1m,write,7799,7799,0.042736,380928,1024.00,0.019389,24.42,18.89,24.42,0,
/mnt/ltio/fio-jobdir,512,3,372,1116M,1m,write,3214.30,3214.33,0.050620,1142784,1024.00,0.015813,177.76,164.30,177.77,0,
/mnt/ltio/fio-jobdir,512,6,372,2232M,1m,
/mnt/ltio/fio-jobdir,512,9,372,3348M,1m,write,3095.73,3095.74,0.145048,3428352,1024.00,0.022715,553.72,489.78,553.72,0,
/mnt/ltio/fio-jobdir,512,12,372,4464M,1m,write,3593.65,3593.66,0.134025,4571136,1024.00,0.018324,636.00,479.77,636.00,0,
