testdir,nranks,epcnt,epsz,wrsz,blksz,access,bw(MiB/s),IOPS,Latency(s),block(KiB),xfer(KiB),open(s),wr/rd(s),close(s),total(s),iter
/mnt/lt20ad1/fio-jobdir,512,6,372,2232M,1m,write,2150.22,2150.23,0.149838,2285568,1024.00,0.019252,531.47,264.48,531.47,0,
/mnt/lt20ad1/fio-jobdir,512,9,372,3348M,1m,write,2016.33,2016.33,0.253622,3428352,1024.00,0.017339,850.15,443.87,850.15,0,
/mnt/lt20ad1/fio-jobdir,512,12,372,4464M,1m,write,2084.66,2084.66,0.166907,4571136,1024.00,0.015966,1096.37,560.16,1096.37,0,
/mnt/lt20ad1/fio-jobdir,16,1,372,372M,1m,write,1598.86,1599.55,0.005040,380928,1024.00,0.007869,3.72,1.84,3.72,0,
/mnt/lt20ad1/fio-jobdir,16,3,372,1116M,1m,write,2035.65,2035.97,0.007858,1142784,1024.00,0.009114,8.77,2.37,8.77,0,
/mnt/lt20ad1/fio-jobdir,16,6,372,2232M,1m,write,2773.65,2773.95,0.005061,2285568,1024.00,0.011756,12.87,1.71,12.88,0,
/mnt/lt20ad1/fio-jobdir,16,9,372,3348M,1m,write,1337.80,1337.85,0.004720,3428352,1024.00,0.008463,40.04,24.36,40.04,0,
/mnt/lt20ad1/fio-jobdir,16,12,372,4464M,1m,write,1600.59,1600.69,0.004773,4571136,1024.00,0.008280,44.62,23.31,44.62,0,
/mnt/lt20ad1/fio-jobdir,64,1,372,372M,1m,write,3289.14,3289.67,0.015335,380928,1024.00,0.008486,7.24,3.29,7.24,0,
/mnt/lt20ad1/fio-jobdir,64,3,372,1116M,1m,write,2301.51,2301.61,0.014063,1142784,1024.00,0.010122,31.03,20.19,31.03,0,
/mnt/lt20ad1/fio-jobdir,64,6,372,2232M,1m,write,1636.92,1636.94,0.023112,2285568,1024.00,0.006691,87.27,66.11,87.27,0,
/mnt/lt20ad1/fio-jobdir,64,9,372,3348M,1m,write,1923.02,1923.04,0.033092,3428352,1024.00,0.007821,111.42,78.58,111.42,0,
/mnt/lt20ad1/fio-jobdir,64,12,372,4464M,1m,write,1760.58,1760.60,0.025798,4571136,1024.00,0.013402,162.27,101.22,162.27,0,
/mnt/lt20ad1/fio-jobdir,512,1,372,372M,1m,write,2223.96,2224.00,0.139968,380928,1024.00,0.011593,85.64,70.21,85.64,0,
/mnt/lt20ad1/fio-jobdir,512,3,372,1116M,1m,write,2081.36,2081.37,0.194834,1142784,1024.00,0.020994,274.53,168.51,274.53,0,
/mnt/lt20ad1/fio-jobdir,512,6,372,2232M,1m,
/mnt/lt20ad1/fio-jobdir,512,9,372,3348M,1m,write,1526.31,1526.32,0.167094,3428352,1024.00,0.023061,1123.07,751.45,1123.08,0,
/mnt/lt20ad1/fio-jobdir,512,12,372,4464M,1m,WARNING:,Task,445,,partial,write(),,610304,of,1048576,bytes,at,offset,3686793216
/mnt/lt20ad1/fio-jobdir,16,1,372,372M,1m,write,1102.03,1102.33,0.005142,380928,1024.00,0.008103,5.40,3.69,5.40,0,
/mnt/lt20ad1/fio-jobdir,16,3,372,1116M,1m,write,794.86,794.91,0.004816,1142784,1024.00,0.007932,22.46,17.09,22.46,0,
