,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
27,network-suite,11,512,1,6500000,6600000,,,,,,,,,,,0,0,24519.0,27129.0,,,,,,,,,,,104.152,27233.248
28,network-suite,12,512,1,6500000,6600000,,,,,,,,,,,0,0,24671.0,26863.0,,,,,,,,,,,99.483,26962.809
29,network-suite,15,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,23918.0,25361.0,23403.0,26642.0,23617.0,26061.0,,,,,,,122.20599999999999,78186.319
30,network-suite,15,512,1,6500000,6600000,,,,,,,,,,,0,0,24284.0,26994.0,,,,,,,,,,,147.741,27142.081000000002
31,network-suite,11,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,23957.0,25666.0,23682.0,26220.0,24240.0,26027.0,,,,,,,66.107,77978.82400000001
32,network-suite,14,1024,1,3300000,3300000,,,,,,,,,,,0,0,12959.0,16376.999999999998,,,,,,,,,,,78.033,16454.647
33,network-suite,12,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,33725.0,37653.0,33377.0,37292.0,32677.0,35709.0,33719.0,35132.0,33029.0,37378.0,33937.0,35784.0,37.940000000000005,218985.775
34,network-suite,13,1024,1,3300000,3300000,,,,,,,,,,,0,0,12405.0,14637.0,,,,,,,,,,,108.7,14745.722000000002
35,network-suite,13,512,1,6500000,6600000,,,,,,,,,,,0,0,24430.0,28504.0,,,,,,,,,,,137.186,28640.810999999998
36,network-suite,14,512,1,6500000,6600000,,,,,,,,,,,0,0,23769.0,27647.0,,,,,,,,,,,87.58,27734.976
37,network-suite,15,1024,1,3300000,3300000,,,,,,,,,,,0,0,12645.0,19260.0,,,,,,,,,,,138.671,19398.836
38,network-suite,11,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,33135.0,35363.0,33082.0,34885.0,33099.0,35425.0,33294.0,35624.0,33554.0,36581.0,34001.0,36683.0,46.461000000000006,214607.897
39,network-suite,11,1024,1,3300000,3300000,,,,,,,,,,,0,0,12257.0,18189.0,,,,,,,,,,,186.583,18375.234
40,dfs-reg-suite,13,128,6,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,35609.0,37800.0,36447.0,38772.0,39779.0,42383.0,36016.0,41352.0,34878.0,38215.0,35695.0,38037.0,31548.519,268107.71499999997
41,dfs-reg-suite,12,256,3,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,27140.0,28895.0,26913.0,28509.0,30710.0,33186.0,,,,,,,36516.368,127106.083
