,runtype,nranks,epcnt,run,total_io_time,load_std
18,dfs-ioonly,128,6,11,186,0
13,dfs-ioonly,128,6,12,142,0
0,dfs-ioonly,128,6,13,128,0
6,dfs-ioonly,128,6,14,117,0
2,dfs-ioonly,128,6,15,135,0
11,dfs-ioonly,256,3,11,125,0
1,dfs-ioonly,256,3,12,184,0
5,dfs-ioonly,256,3,13,184,0
4,dfs-ioonly,256,3,14,189,0
9,dfs-ioonly,256,3,15,176,0
7,dfs-ioonly,512,1,11,73,0
8,dfs-ioonly,512,1,12,84,0
15,dfs-ioonly,512,1,13,76,0
16,dfs-ioonly,512,1,14,71,0
10,dfs-ioonly,512,1,15,53,0
19,dfs-ioonly,1024,1,11,70,0
3,dfs-ioonly,1024,1,12,67,0
14,dfs-ioonly,1024,1,13,87,0
12,dfs-ioonly,1024,1,14,104,0
17,dfs-ioonly,1024,1,15,73,0
58,dfs-reg-suite,128,6,11,234,0
53,dfs-reg-suite,128,6,12,233,0
40,dfs-reg-suite,128,6,13,268,0
46,dfs-reg-suite,128,6,14,256,0
42,dfs-reg-suite,128,6,15,233,0
51,dfs-reg-suite,256,3,11,141,0
41,dfs-reg-suite,256,3,12,127,0
45,dfs-reg-suite,256,3,13,126,0
44,dfs-reg-suite,256,3,14,151,0
49,dfs-reg-suite,256,3,15,131,0
47,dfs-reg-suite,512,1,11,102,0
48,dfs-reg-suite,512,1,12,75,0
55,dfs-reg-suite,512,1,13,61,0
56,dfs-reg-suite,512,1,14,51,0
50,dfs-reg-suite,512,1,15,97,0
59,dfs-reg-suite,1024,1,11,79,0
43,dfs-reg-suite,1024,1,12,99,0
54,dfs-reg-suite,1024,1,13,75,0
52,dfs-reg-suite,1024,1,14,94,0
57,dfs-reg-suite,1024,1,15,74,0
38,network-suite,128,6,11,214,0
33,network-suite,128,6,12,218,0
20,network-suite,128,6,13,213,0
26,network-suite,128,6,14,212,0
22,network-suite,128,6,15,212,0
31,network-suite,256,3,11,77,0
21,network-suite,256,3,12,79,0
25,network-suite,256,3,13,82,0
24,network-suite,256,3,14,79,0
29,network-suite,256,3,15,78,0
27,network-suite,512,1,11,27,0
28,network-suite,512,1,12,26,0
35,network-suite,512,1,13,28,0
36,network-suite,512,1,14,27,0
30,network-suite,512,1,15,27,0
39,network-suite,1024,1,11,18,0
23,network-suite,1024,1,12,15,0
34,network-suite,1024,1,13,14,0
32,network-suite,1024,1,14,16,0
37,network-suite,1024,1,15,19,0
