,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
29,network-suite,33,256,3,6500000,6600000,0,0,23950.0,26238.0,190.548,81150.188,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,23536.0,26210.0,22947.0,28512.0,,,,,,
30,network-suite,34,1024,1,3300000,3300000,0,0,12259.0,15758.0,113.00200000000001,15871.108,,,,,,,,,,,,,,,,,,,,
31,network-suite,32,128,6,6500000,6600000,0,0,33644.0,35980.0,65.065,219688.763,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,33627.0,36317.0,33223.0,35816.0,32939.0,36796.0,33345.0,36417.0,33974.0,38298.0
32,dfs-reg-suite,33,1024,1,3300000,3300000,0,0,20228.0,46451.0,56834.37,103285.257,,,,,,,,,,,,,,,,,,,,
33,dfs-reg-suite,34,512,1,6500000,6600000,0,0,28200.0,79079.0,36597.388,115676.17199999999,,,,,,,,,,,,,,,,,,,,
34,dfs-reg-suite,31,128,6,6500000,6600000,0,0,36349.0,38423.0,1844.411,233312.152,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,35177.0,39482.0,35815.0,39060.0,36428.0,38719.0,36157.0,37795.0,35496.0,37988.0
35,dfs-reg-suite,31,1024,1,3300000,3300000,0,0,21572.0,55363.0,85676.503,141039.414,,,,,,,,,,,,,,,,,,,,
36,dfs-reg-suite,31,256,3,6500000,6600000,0,0,63846.0,73300.0,139894.18,291708.566,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,26766.0,29286.0,47173.0,49228.0,,,,,,
37,dfs-reg-suite,32,512,1,6500000,6600000,0,0,30752.0,78468.0,87569.681,166037.945,,,,,,,,,,,,,,,,,,,,
38,dfs-reg-suite,31,512,1,6500000,6600000,0,0,130106.0,160376.0,42983.718,203359.844,,,,,,,,,,,,,,,,,,,,
39,dfs-reg-suite,34,128,6,6500000,6600000,0,0,36286.0,38290.0,1041.531,233171.614,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,35405.0,38520.0,36104.0,39376.0,35210.0,38240.0,35536.0,38723.0,36622.0,38981.0
40,dfs-reg-suite,32,1024,1,3300000,3300000,0,0,23692.0,45321.0,9272.081,54592.753000000004,,,,,,,,,,,,,,,,,,,,
41,dfs-reg-suite,32,256,3,6500000,6600000,0,0,26507.0,29701.0,104422.301,276575.054,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,40117.0,52649.0,78988.0,89802.0,,,,,,
42,dfs-reg-suite,33,128,6,6500000,6600000,0,0,35800.0,38274.0,1048.711,229298.333,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,35404.0,37711.0,35212.0,39288.0,35451.0,37476.0,35492.0,37066.0,35104.0,38435.0
43,dfs-reg-suite,34,256,3,6500000,6600000,0,0,26762.0,29382.0,96757.262,340949.05199999997,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,31993.0,39706.0,136077.0,175103.0,,,,,,
44,dfs-reg-suite,33,512,1,6500000,6600000,0,0,27133.0,47923.0,120442.176,168364.846,,,,,,,,,,,,,,,,,,,,
45,dfs-reg-suite,33,256,3,6500000,6600000,0,0,27085.0,28762.0,82470.367,349138.386,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,58680.0,85971.0,137053.0,151935.0,,,,,,
46,dfs-reg-suite,34,1024,1,3300000,3300000,0,0,26313.0,43172.0,137641.91199999998,180814.39700000003,,,,,,,,,,,,,,,,,,,,
47,dfs-reg-suite,32,128,6,6500000,6600000,0,0,36004.0,37905.0,1782.69,234159.825,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,36255.0,38713.0,34068.0,39504.0,36514.0,37923.0,35585.0,38708.0,34645.0,39624.0
