,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
89,carp-suite-interepoch,128,6,1,512,12,228,0.041
96,carp-suite-interepoch,128,6,1,512,13,231,0.037
100,carp-suite-interepoch,128,6,1,512,14,233,0.033
91,carp-suite-interepoch,128,6,1,512,15,228,0.077
85,carp-suite-interepoch,128,6,1,2048,11,231,0.04
101,carp-suite-interepoch,128,6,3,2048,11,227,0.05
97,carp-suite-interepoch,256,3,1,512,12,120,0.042
83,carp-suite-interepoch,256,3,1,512,13,130,0.059
92,carp-suite-interepoch,256,3,1,512,14,125,0.054
84,carp-suite-interepoch,256,3,1,512,15,119,0.061
102,carp-suite-interepoch,256,3,1,2048,11,131,0.048
93,carp-suite-interepoch,256,3,3,2048,11,131,0.056
103,carp-suite-interepoch,512,1,1,512,12,80,0.408
86,carp-suite-interepoch,512,1,1,512,13,54,0.477
98,carp-suite-interepoch,512,1,1,512,14,70,0.422
82,carp-suite-interepoch,512,1,1,512,15,64,0.515
88,carp-suite-interepoch,512,1,1,2048,11,79,0.29
81,carp-suite-interepoch,512,1,3,2048,11,86,0.577
94,carp-suite-interepoch,1024,1,1,512,12,74,0.347
87,carp-suite-interepoch,1024,1,1,512,13,75,0.257
99,carp-suite-interepoch,1024,1,1,512,14,79,0.276
95,carp-suite-interepoch,1024,1,1,512,15,79,0.15
90,carp-suite-interepoch,1024,1,1,2048,11,75,0.211
80,carp-suite-interepoch,1024,1,3,2048,11,80,0.325
113,carp-suite-interepoch-nowrite,128,6,1,512,12,221,0.037
120,carp-suite-interepoch-nowrite,128,6,1,512,13,218,0.035
124,carp-suite-interepoch-nowrite,128,6,1,512,14,215,0.043
115,carp-suite-interepoch-nowrite,128,6,1,512,15,218,0.05
109,carp-suite-interepoch-nowrite,128,6,1,2048,11,219,0.04
125,carp-suite-interepoch-nowrite,128,6,3,2048,11,225,0.045
121,carp-suite-interepoch-nowrite,256,3,1,512,12,87,0.038
107,carp-suite-interepoch-nowrite,256,3,1,512,13,82,0.042
116,carp-suite-interepoch-nowrite,256,3,1,512,14,84,0.042
108,carp-suite-interepoch-nowrite,256,3,1,512,15,90,0.055
126,carp-suite-interepoch-nowrite,256,3,1,2048,11,87,0.053
117,carp-suite-interepoch-nowrite,256,3,3,2048,11,127,0.055
127,carp-suite-interepoch-nowrite,512,1,1,512,12,36,0.61
110,carp-suite-interepoch-nowrite,512,1,1,512,13,33,0.514
122,carp-suite-interepoch-nowrite,512,1,1,512,14,35,0.559
106,carp-suite-interepoch-nowrite,512,1,1,512,15,31,0.433
