,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
21,carp-suite-intraepoch-nowrite,12,512,1,750000,512,2100000,11800000,0.062,0,33550.0,33816.0,1.4729999999999999,33817.916,,,,,,,,,,,,,,,,,,,,
22,carp-suite-intraepoch-nowrite,14,256,3,750000,512,6100000,12900000,0.083,0,28357.0,28535.0,3.9960000000000004,94870.54000000001,6100000.0,13900000.0,6100000.0,13000000.0,33650.0,33811.0,32341.0,32520.000000000004,,,,,,,,,,,,
23,carp-suite-intraepoch-nowrite,11,128,6,1000000,2048,3500000,7300000,0.056,0,36733.0,36875.0,246.56300000000002,224096.11000000002,3500000.0,7300000.0,3500000.0,7300000.0,37557.0,37762.0,37432.0,37539.0,3500000.0,7300000.0,3500000.0,7300000.0,3500000.0,7300000.0,37929.0,38041.0,36914.0,36997.0,36548.0,36636.0
24,carp-suite-intraepoch-nowrite,13,1024,1,750000,512,158900,4700000,0.143,0,19497.0,19710.0,4.105,19713.833000000002,,,,,,,,,,,,,,,,,,,,
25,carp-suite-intraepoch-nowrite,11,1024,1,750000,1024,258500,4000000,0.216,0,45825.0,60570.0,20368.118,80937.933,,,,,,,,,,,,,,,,,,,,
26,carp-suite-intraepoch-nowrite,11,1024,1,750000,512,71800,5600000,0.082,0,22447.0,22664.0,4.343999999999999,22668.130999999998,,,,,,,,,,,,,,,,,,,,
27,carp-suite-intraepoch-nowrite,11,512,1,750000,2048,189900,11300000,0.558,0,71070.0,73508.0,18305.216,91813.129,,,,,,,,,,,,,,,,,,,,
28,carp-suite-intraepoch-nowrite,11,256,3,1000000,512,6200000,9300000,0.053,0,32456.000000000004,32606.0,28056.655,130277.185,6200000.0,9300000.0,6200000.0,9300000.0,31657.0,31769.0,37364.0,37846.0,,,,,,,,,,,,
29,carp-suite-intraepoch-nowrite,11,256,3,1000000,1024,6100000,8500000,0.046,0,29569.0,29672.0,52039.31,155855.482,6100000.0,8500000.0,6100000.0,8500000.0,42697.0,42803.0,30094.0,31341.0,,,,,,,,,,,,
30,carp-suite-intraepoch-nowrite,11,128,6,750000,1024,6200000,8800000,0.048,0,38349.0,38445.0,294.88,234718.38700000002,6200000.0,8800000.0,6200000.0,8800000.0,38352.0,38477.0,39956.0,40085.0,6200000.0,8800000.0,6200000.0,8800000.0,6200000.0,8800000.0,38170.0,38388.0,40168.0,40315.0,38575.0,38715.0
