,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,max_fin_dura,total_io_time,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
21,carp-suite-intrapoch-skipsort,32,512,1,1,512,555200,7000000,,,,,0.144,0,84230.0,90745.0,,,,,21429.246,112174.04500000001,,,,,,,,,,,,
22,carp-suite-intrapoch-skipsort,34,512,1,1,512,502200,7100000,,,,,0.166,0,75573.0,90210.0,,,,,116448.352,206657.903,,,,,,,,,,,,
23,carp-suite-intrapoch-skipsort,33,256,3,1,512,6200000,10800000,6100000.0,11300000.0,6200000.0,9300000.0,0.055,0,54197.0,54314.0,52884.0,52981.0,101808.0,128685.0,100437.459,336417.275,,,,,,,,,,,,
24,carp-suite-intrapoch-skipsort,32,256,3,1,512,5600000,8199999,6200000.0,10600000.0,6100000.0,8900000.0,0.051,0,57074.0,57321.0,49633.0,49915.0,139303.0,139514.0,48661.642,295411.63999999996,,,,,,,,,,,,
25,carp-suite-intrapoch-skipsort,33,512,1,1,512,481600,7300000,,,,,0.173,0,61449.0,61591.0,,,,,116767.02799999999,178358.226,,,,,,,,,,,,
26,carp-suite-intrapoch-skipsort,31,256,3,1,512,4900000,7700000,6000000.0,11900000.0,6200000.0,9500000.0,0.056,0,34284.0,36868.0,33062.0,35690.0,42891.0,53220.0,100903.814,226682.30399999997,,,,,,,,,,,,
27,carp-suite-intrapoch-skipsort,33,1024,1,1,512,173800,4600000,,,,,0.331,0,89467.0,149497.0,,,,,25733.962,175231.412,,,,,,,,,,,,
28,carp-suite-intrapoch-skipsort,31,1024,1,1,512,192800,4600000,,,,,0.352,0,77155.0,148431.0,,,,,51514.783,199945.588,,,,,,,,,,,,
29,carp-suite-intrapoch-skipsort,31,512,1,1,512,359600,7500000,,,,,0.237,0,63880.0,76349.0,,,,,105331.922,181680.883,,,,,,,,,,,,
30,carp-suite-intrapoch-skipsort,34,128,6,1,512,6200000,8400000,6200000.0,8000000.0,6200000.0,8800000.0,0.052,0,39335.0,39419.0,38559.0,38689.0,38988.0,39068.0,898.639,230751.136,6000000.0,7700000.0,5800000.0,7600000.0,4900000.0,7900000.0,36948.0,37078.0,38188.0,38344.0,37092.0,37255.0
31,carp-suite-intrapoch-skipsort,34,1024,1,1,512,453800,4600000,,,,,0.168,0,78148.0,78881.0,,,,,85561.898,164443.144,,,,,,,,,,,,
32,carp-suite-interepoch-nowrite,34,256,3,1,512,6200000,11400000,4700000.0,7500000.0,5300000.0,7700000.0,0.037,0,30433.0,30547.0,29730.0,29908.0,27225.0,27419.0,2.222,87876.059,,,,,,,,,,,,
33,carp-suite-interepoch-nowrite,32,1024,1,1,512,248800,4300000,,,,,0.232,0,18037.0,18314.0,,,,,3.5530000000000004,18317.063000000002,,,,,,,,,,,,
