,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
512,carp-suite-interepoch-nowrite,256,3,1,512,13,82,0.042
532,carp-suite-interepoch-nowrite,256,3,1,512,14,84,0.042
515,carp-suite-interepoch-nowrite,256,3,1,512,15,90,0.055
521,carp-suite-interepoch-nowrite,256,3,1,512,16,84,0.038
541,carp-suite-interepoch-nowrite,256,3,1,512,17,84,0.042
526,carp-suite-interepoch-nowrite,256,3,1,512,18,93,0.052
531,carp-suite-interepoch-nowrite,256,3,1,512,19,87,0.072
551,carp-suite-interepoch-nowrite,256,3,1,512,20,94,0.038
552,carp-suite-interepoch-nowrite,256,3,1,2048,11,87,0.053
533,carp-suite-interepoch-nowrite,256,3,3,2048,11,127,0.055
554,carp-suite-interepoch-nowrite,512,1,1,512,12,36,0.61
519,carp-suite-interepoch-nowrite,512,1,1,512,13,33,0.514
542,carp-suite-interepoch-nowrite,512,1,1,512,14,35,0.559
511,carp-suite-interepoch-nowrite,512,1,1,512,15,31,0.433
514,carp-suite-interepoch-nowrite,512,1,1,512,16,35,0.593
522,carp-suite-interepoch-nowrite,512,1,1,512,17,40,0.581
527,carp-suite-interepoch-nowrite,512,1,1,512,18,32,0.507
550,carp-suite-interepoch-nowrite,512,1,1,512,19,30,0.348
507,carp-suite-interepoch-nowrite,512,1,1,512,20,30,0.371
523,carp-suite-interepoch-nowrite,512,1,1,2048,11,33,0.541
506,carp-suite-interepoch-nowrite,512,1,3,2048,11,79,0.513
536,carp-suite-interepoch-nowrite,1024,1,1,512,12,18,0.335
520,carp-suite-interepoch-nowrite,1024,1,1,512,13,19,0.136
544,carp-suite-interepoch-nowrite,1024,1,1,512,14,17,0.239
537,carp-suite-interepoch-nowrite,1024,1,1,512,15,18,0.404
535,carp-suite-interepoch-nowrite,1024,1,1,512,16,18,0.286
509,carp-suite-interepoch-nowrite,1024,1,1,512,17,17,0.293
518,carp-suite-interepoch-nowrite,1024,1,1,512,18,18,0.314
525,carp-suite-interepoch-nowrite,1024,1,1,512,19,17,0.261
508,carp-suite-interepoch-nowrite,1024,1,1,512,20,19,0.205
528,carp-suite-interepoch-nowrite,1024,1,1,2048,11,18,0.328
504,carp-suite-interepoch-nowrite,1024,1,3,2048,11,80,0.341
24,carp-suite-interpoch-skipsort,512,1,1,512,41,67,0.336
38,carp-suite-interpoch-skipsort,512,1,1,512,42,66,0.353
15,carp-suite-interpoch-skipsort,512,1,1,512,43,88,0.507
1,carp-suite-interpoch-skipsort,512,1,1,512,44,83,0.504
32,carp-suite-interpoch-skipsort,512,1,1,512,45,86,0.256
41,carp-suite-interpoch-skipsort,512,1,1,1024,41,57,0.482
36,carp-suite-interpoch-skipsort,512,1,1,1024,42,90,0.504
16,carp-suite-interpoch-skipsort,512,1,1,1024,43,107,0.544
3,carp-suite-interpoch-skipsort,512,1,1,1024,44,76,0.5
6,carp-suite-interpoch-skipsort,512,1,1,1024,45,69,0.554
26,carp-suite-interpoch-skipsort,512,1,1,2048,41,62,0.277
27,carp-suite-interpoch-skipsort,512,1,1,2048,42,68,0.284
5,carp-suite-interpoch-skipsort,512,1,1,2048,43,112,0.557
34,carp-suite-interpoch-skipsort,512,1,1,2048,44,90,0.319
2,carp-suite-interpoch-skipsort,512,1,1,2048,45,96,0.474
43,carp-suite-interpoch-skipsort,512,1,2,512,41,85,0.471
42,carp-suite-interpoch-skipsort,512,1,2,512,42,75,0.53
40,carp-suite-interpoch-skipsort,512,1,2,512,43,87,0.546
29,carp-suite-interpoch-skipsort,512,1,2,512,44,84,0.361
4,carp-suite-interpoch-skipsort,512,1,2,512,45,71,0.526
7,carp-suite-interpoch-skipsort,512,1,2,1024,41,65,0.546
30,carp-suite-interpoch-skipsort,512,1,2,1024,42,91,0.569
0,carp-suite-interpoch-skipsort,512,1,2,1024,43,96,0.634
12,carp-suite-interpoch-skipsort,512,1,2,1024,44,75,0.545
9,carp-suite-interpoch-skipsort,512,1,2,1024,45,81,0.537
25,carp-suite-interpoch-skipsort,512,1,2,2048,41,86,0.463
37,carp-suite-interpoch-skipsort,512,1,2,2048,42,87,0.581
20,carp-suite-interpoch-skipsort,512,1,2,2048,43,103,0.487
17,carp-suite-interpoch-skipsort,512,1,2,2048,44,74,0.386
13,carp-suite-interpoch-skipsort,512,1,2,2048,45,124,0.415
28,carp-suite-interpoch-skipsort,512,1,3,512,41,95,0.517
44,carp-suite-interpoch-skipsort,512,1,3,512,42,105,0.319
35,carp-suite-interpoch-skipsort,512,1,3,512,43,82,0.538
31,carp-suite-interpoch-skipsort,512,1,3,512,44,83,0.576
18,carp-suite-interpoch-skipsort,512,1,3,512,45,101,0.495
8,carp-suite-interpoch-skipsort,512,1,3,1024,41,74,0.531
39,carp-suite-interpoch-skipsort,512,1,3,1024,42,77,0.303
14,carp-suite-interpoch-skipsort,512,1,3,1024,43,82,0.565
33,carp-suite-interpoch-skipsort,512,1,3,1024,44,105,0.349
19,carp-suite-interpoch-skipsort,512,1,3,1024,45,94,0.534
23,carp-suite-interpoch-skipsort,512,1,3,2048,41,78,0.259
10,carp-suite-interpoch-skipsort,512,1,3,2048,42,79,0.58
21,carp-suite-interpoch-skipsort,512,1,3,2048,43,82,0.405
22,carp-suite-interpoch-skipsort,512,1,3,2048,44,79,0.599
11,carp-suite-interpoch-skipsort,512,1,3,2048,45,85,0.371
129,carp-suite-intraepoch-nowrite,32,12,750000,512,16,947,0.061
148,carp-suite-intraepoch-nowrite,32,12,750000,512,17,941,0.059
145,carp-suite-intraepoch-nowrite,32,12,750000,512,18,929,0.061
151,carp-suite-intraepoch-nowrite,32,12,750000,512,19,942,0.05
184,carp-suite-intraepoch-nowrite,32,12,750000,512,20,915,0.051
185,carp-suite-intraepoch-nowrite,64,12,750000,512,16,632,0.112
125,carp-suite-intraepoch-nowrite,64,12,750000,512,17,619,0.081
175,carp-suite-intraepoch-nowrite,64,12,750000,512,18,617,0.073
139,carp-suite-intraepoch-nowrite,64,12,750000,512,19,623,0.068
162,carp-suite-intraepoch-nowrite,64,12,750000,512,20,640,0.102
167,carp-suite-intraepoch-nowrite,128,6,750000,512,11,235,0.115
132,carp-suite-intraepoch-nowrite,128,6,750000,512,12,226,0.072
190,carp-suite-intraepoch-nowrite,128,6,750000,512,13,227,0.077
156,carp-suite-intraepoch-nowrite,128,6,750000,512,14,237,0.107
168,carp-suite-intraepoch-nowrite,128,6,750000,512,15,232,0.087
131,carp-suite-intraepoch-nowrite,128,6,750000,512,16,234,0.077
160,carp-suite-intraepoch-nowrite,128,6,750000,512,17,230,0.076
141,carp-suite-intraepoch-nowrite,128,6,750000,512,18,231,0.079
159,carp-suite-intraepoch-nowrite,128,6,750000,512,19,234,0.072
182,carp-suite-intraepoch-nowrite,128,6,750000,512,20,228,0.101
146,carp-suite-intraepoch-nowrite,128,6,750000,1024,11,234,0.048
183,carp-suite-intraepoch-nowrite,128,6,750000,2048,11,225,0.052
154,carp-suite-intraepoch-nowrite,128,6,1000000,512,11,223,0.038
127,carp-suite-intraepoch-nowrite,128,6,1000000,1024,11,223,0.066
135,carp-suite-intraepoch-nowrite,128,6,1000000,2048,11,224,0.056
181,carp-suite-intraepoch-nowrite,256,3,750000,512,11,106,0.071
161,carp-suite-intraepoch-nowrite,256,3,750000,512,12,100,0.076
178,carp-suite-intraepoch-nowrite,256,3,750000,512,13,100,0.085
134,carp-suite-intraepoch-nowrite,256,3,750000,512,14,94,0.083
169,carp-suite-intraepoch-nowrite,256,3,750000,512,15,104,0.091
123,carp-suite-intraepoch-nowrite,256,3,750000,512,16,107,0.079
187,carp-suite-intraepoch-nowrite,256,3,750000,512,17,97,0.076
188,carp-suite-intraepoch-nowrite,256,3,750000,512,18,100,0.046
130,carp-suite-intraepoch-nowrite,256,3,750000,512,19,101,0.07
163,carp-suite-intraepoch-nowrite,256,3,750000,512,20,103,0.077
155,carp-suite-intraepoch-nowrite,256,3,750000,1024,11,129,0.06
147,carp-suite-intraepoch-nowrite,256,3,750000,2048,11,110,0.057
143,carp-suite-intraepoch-nowrite,256,3,1000000,512,11,130,0.053
144,carp-suite-intraepoch-nowrite,256,3,1000000,1024,11,155,0.046
152,carp-suite-intraepoch-nowrite,256,3,1000000,2048,11,112,0.05
166,carp-suite-intraepoch-nowrite,512,1,750000,512,11,32,0.059
133,carp-suite-intraepoch-nowrite,512,1,750000,512,12,33,0.062
179,carp-suite-intraepoch-nowrite,512,1,750000,512,13,34,0.065
122,carp-suite-intraepoch-nowrite,512,1,750000,512,14,28,0.065
126,carp-suite-intraepoch-nowrite,512,1,750000,512,15,31,0.066
149,carp-suite-intraepoch-nowrite,512,1,750000,512,16,33,0.067
171,carp-suite-intraepoch-nowrite,512,1,750000,512,17,32,0.061
164,carp-suite-intraepoch-nowrite,512,1,750000,512,18,31,0.07
121,carp-suite-intraepoch-nowrite,512,1,750000,512,19,32,0.054
124,carp-suite-intraepoch-nowrite,512,1,750000,512,20,29,0.053
170,carp-suite-intraepoch-nowrite,512,1,750000,1024,11,90,0.295
142,carp-suite-intraepoch-nowrite,512,1,750000,2048,11,91,0.558
189,carp-suite-intraepoch-nowrite,512,1,1000000,512,11,94,0.463
172,carp-suite-intraepoch-nowrite,512,1,1000000,1024,11,92,0.577
153,carp-suite-intraepoch-nowrite,512,1,1000000,2048,11,89,0.467
140,carp-suite-intraepoch-nowrite,1024,1,750000,512,11,22,0.082
150,carp-suite-intraepoch-nowrite,1024,1,750000,512,12,21,0.067
137,carp-suite-intraepoch-nowrite,1024,1,750000,512,13,19,0.143
176,carp-suite-intraepoch-nowrite,1024,1,750000,512,14,19,0.062
173,carp-suite-intraepoch-nowrite,1024,1,750000,512,15,27,0.099
136,carp-suite-intraepoch-nowrite,1024,1,750000,512,16,22,0.066
