,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
25,carp-suite-interpoch-skipsort,41,512,1,2,2048,211500,11000000,0.463,0,56790.0,70404.0,16553.509,86957.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,carp-suite-interpoch-skipsort,41,512,1,1,2048,355400,8000000,0.277,0,44977.0,53531.0,8929.311,62460.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,carp-suite-interpoch-skipsort,42,512,1,1,2048,343200,8900000,0.284,0,50326.0,54790.0,13353.742,68143.37999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,carp-suite-interpoch-skipsort,41,512,1,3,512,215300,11300000,0.517,0,57172.0,65128.0,30762.221,95890.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,carp-suite-interpoch-skipsort,44,512,1,2,512,303500,9100000,0.361,0,54402.0,57753.0,26297.506999999998,84050.771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,carp-suite-interpoch-skipsort,42,512,1,2,1024,193900,11600000,0.569,0,57188.0,65699.0,25973.659,91672.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,carp-suite-interpoch-skipsort,44,512,1,3,512,214100,11800000,0.576,0,59676.0,66597.0,17248.779,83845.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,carp-suite-interpoch-skipsort,45,512,1,1,512,444100,9000000,0.256,0,54220.0,58707.0,28239.213,86945.893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,carp-suite-interpoch-skipsort,44,512,1,3,1024,280800,9000000,0.349,0,60110.0,62982.0,43017.862,105999.899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,carp-suite-interpoch-skipsort,44,512,1,1,2048,293500,9100000,0.319,0,58121.0,59421.0,31018.475,90439.12400000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,carp-suite-interpoch-skipsort,43,512,1,3,512,216900,11100000,0.538,0,57444.0,59894.0,22607.37,82501.62299999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,carp-suite-interpoch-skipsort,42,512,1,1,1024,225400,10300000,0.504,0,58887.0,63167.0,27803.141,90970.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,carp-suite-interpoch-skipsort,42,512,1,2,2048,196400,11600000,0.581,0,48612.0,53909.0,33571.810999999994,87480.983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,carp-suite-interpoch-skipsort,42,512,1,1,512,289200,9300000,0.353,0,52122.0,54170.0,12659.036,66829.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,carp-suite-interpoch-skipsort,42,512,1,3,1024,364100,8600000,0.303,0,48789.0,58422.0,19546.534,77968.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,carp-suite-interpoch-skipsort,43,512,1,2,512,223300,11300000,0.546,0,63338.0,67044.0,20615.751,87659.71399999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,carp-suite-interpoch-skipsort,41,512,1,1,1024,243700,10500000,0.482,0,48387.0,48665.0,8893.371000000001,57557.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,carp-suite-interpoch-skipsort,42,512,1,2,512,205000,11200000,0.53,0,51671.0,55426.0,20353.87,75780.14600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,carp-suite-interpoch-skipsort,41,512,1,2,512,233200,10000000,0.471,0,55285.0,66126.0,19450.709,85576.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,carp-suite-interpoch-skipsort,42,512,1,3,512,308400,9300000,0.319,0,63709.0,73280.0,31936.869000000002,105216.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,carp-suite-intrapoch-skipsort,16,64,12,1,512,5200000,8700000,0.033,0,52671.0,52723.0,162.59,631652.768,4600000.0,7200000.0,6300000.0,7500000.0,6200000.0,7400000.0,6200000.0,7500000.0,6100000.0,7300000.0,6300000.0,7400000.0,6200000.0,7400000.0,6200000.0,7700000.0,6300000.0,7600000.0,6200000.0,7600000.0,6200000.0,7500000.0,51299.0,51319.0,54078.0,54141.0,51245.0,51275.0,53388.0,53423.0,52332.0,52355.0,51805.0,51881.0,54103.0,54279.0,51651.0,51771.0,52429.0,52534.0,53750.0,53866.0,51858.0,51923.0
46,carp-suite-intrapoch-skipsort,45,32,12,1,512,6300000,7300000,0.024,0,81312.0,81360.0,87.89,941529.403,6200000.0,8100000.0,3000000.0,8400000.0,6300000.0,7100000.0,6300000.0,7200000.0,6300000.0,7500000.0,1500000.0,10000000.0,6200000.0,7200000.0,5700000.0,7100000.0,4099999.0,8199999.0,6200000.0,7900000.0,6300000.0,7100000.0,76945.0,77038.0,78000.0,78104.0,78089.0,78134.0,77642.0,77690.0,75920.0,75991.0,79228.0,79299.0,79155.0,79213.0,77186.0,77230.0,79775.0,79825.0,78505.0,78550.0,78961.0,79008.0
47,carp-suite-intrapoch-skipsort,43,128,6,1,512,4800000,7200000,0.046,0,36898.0,36986.0,653.5600000000001,222912.79,4900000.0,7500000.0,6200000.0,8100000.0,4900000.0,7600000.0,5100000.0,7300000.0,6200000.0,8600000.0,,,,,,,,,,,,,37063.0,37150.0,36943.0,37037.0,36256.0,36350.0,36184.0,36309.0,38295.0,38427.0,,,,,,,,,,,,
48,carp-suite-intrapoch-skipsort,18,128,6,1,512,6200000,8300000,0.039,0,37153.0,37260.0,1283.291,229570.88400000002,5200000.0,7700000.0,6200000.0,8000000.0,5600000.0,7600000.0,4900000.0,8199999.0,6200000.0,8100000.0,,,,,,,,,,,,,36278.0,37056.0,37878.0,38668.0,37787.0,37903.0,36709.0,36885.0,36335.0,40517.0,,,,,,,,,,,,
49,carp-suite-intrapoch-skipsort,20,512,1,1,512,1300000,7500000,0.078,0,49791.0,62765.0,367.995,63133.116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,carp-suite-intrapoch-skipsort,20,1024,1,1,512,162200,4200000,0.052,0,63606.0,75514.0,16995.823,92510.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,carp-suite-intrapoch-skipsort,44,512,1,1,512,494900,7300000,0.161,0,44850.0,49190.0,12338.465,61528.064999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,carp-suite-intrapoch-skipsort,17,1024,1,1,512,179800,4600000,0.347,0,46780.0,67341.0,1836.95,69178.138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,carp-suite-intrapoch-skipsort,42,256,3,1,512,4600000,7600000,0.059,0,28817.0,29501.0,12658.758,105702.953,6000000.0,8300000.0,6200000.0,9700000.0,,,,,,,,,,,,,,,,,,,31045.0,31768.0,31596.0,31775.0,,,,,,,,,,,,,,,,,,
54,carp-suite-intrapoch-skipsort,42,128,6,1,512,4200000,7400000,0.044,0,36089.0,36208.0,196.073,224088.06999999998,6200000.0,8000000.0,3800000.0,7000000.0,5300000.0,7400000.0,6300000.0,8000000.0,6200000.0,8500000.0,,,,,,,,,,,,,37804.0,37929.0,37726.0,37889.0,35838.0,35975.0,36926.0,37010.0,38779.0,38882.0,,,,,,,,,,,,
55,carp-suite-intrapoch-skipsort,19,64,12,1,512,5600000,8300000,0.033,0,54283.0,54329.0,152.28,635264.777,6300000.0,7600000.0,6300000.0,7300000.0,6300000.0,7800000.0,6200000.0,7600000.0,5300000.0,7200000.0,5600000.0,7300000.0,4500000.0,7100000.0,6300000.0,7500000.0,6300000.0,7500000.0,6200000.0,7500000.0,5600000.0,7100000.0,51443.0,51526.0,51007.0,51110.0,52729.0,52764.0,52510.0,52569.0,54974.0,55021.0,51836.0,51926.0,52080.0,52168.0,53212.0,53263.0,52870.0,52931.0,54627.0,54728.0,52683.0,52778.0
56,carp-suite-intrapoch-skipsort,43,64,12,1,512,5900000,7500000,0.033,0,54664.0,54696.0,294.719,641825.614,6200000.0,7700000.0,5200000.0,7100000.0,6200000.0,7400000.0,6200000.0,7700000.0,5300000.0,7000000.0,6200000.0,7300000.0,6100000.0,7700000.0,6200000.0,7400000.0,5000000.0,7000000.0,5000000.0,7100000.0,6300000.0,7600000.0,53055.0,53136.0,53358.0,53401.0,54103.0,54223.0,53948.0,54133.0,53606.0,53702.0,52994.0,53056.0,51066.0,51124.0,54377.0,54451.0,53109.0,53190.0,53497.0,53547.0,52703.0,52872.0
57,carp-suite-intrapoch-skipsort,15,512,1,1,512,549800,7000000,0.139,0,65573.0,65758.0,16461.534,82219.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,carp-suite-intrapoch-skipsort,13,256,3,1,512,6000000,8700000,0.06,0,32582.0,32668.0,49017.584,165368.47499999998,6200000.0,9900000.0,5200000.0,7900000.0,,,,,,,,,,,,,,,,,,,32900.0,33048.0,50392.0,50635.0,,,,,,,,,,,,,,,,,,
59,carp-suite-intrapoch-skipsort,16,128,6,1,512,4900000,7400000,0.046,0,38104.0,38201.0,294.671,224311.463,5300000.0,8000000.0,4800000.0,7500000.0,6200000.0,8500000.0,5800000.0,8000000.0,6200000.0,8600000.0,,,,,,,,,,,,,35548.0,35711.0,37250.0,37393.0,37763.0,37982.0,36636.0,36819.0,37761.0,37911.0,,,,,,,,,,,,
60,carp-suite-intrapoch-skipsort,16,512,1,1,512,471600,7100000,0.166,0,44479.0,53026.0,15480.929,68507.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,carp-suite-intrapoch-skipsort,15,256,3,1,512,6200000,8600000,0.036,0,29980.0,30148.0,58286.871,158400.757,5700000.0,8000000.0,5600000.0,7700000.0,,,,,,,,,,,,,,,,,,,31566.0,31736.0,37949.0,38231.0,,,,,,,,,,,,,,,,,,
62,carp-suite-intrapoch-skipsort,19,128,6,1,512,5000000,7300000,0.035,0,37774.0,37867.0,4439.494,238265.79,6200000.0,8000000.0,5900000.0,7700000.0,5200000.0,7500000.0,6200000.0,8500000.0,5900000.0,7600000.0,,,,,,,,,,,,,39694.0,39793.0,37236.0,37365.0,41712.0,41787.0,38944.0,39094.0,37464.0,37919.0,,,,,,,,,,,,
63,carp-suite-intrapoch-skipsort,18,1024,1,1,512,258100,4800000,0.237,0,41068.0,43481.0,21390.1,64871.195999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,carp-suite-intrapoch-skipsort,43,32,12,1,512,6300000,8000000,0.032,0,78345.0,78395.0,98.917,964242.673,6200000.0,8199999.0,6100000.0,9000000.0,5700000.0,7600000.0,6300000.0,7500000.0,6200000.0,7100000.0,6200000.0,7700000.0,6200000.0,7600000.0,4900000.0,7300000.0,5900000.0,10200000.0,6200000.0,8000000.0,6300000.0,7300000.0,79185.0,79219.0,80134.0,80186.0,81720.0,81761.0,79678.0,79696.0,79255.0,79286.0,80366.0,80399.0,82464.0,82533.0,80737.0,80755.0,80131.0,80200.0,82126.0,82163.0,79481.0,79550.0
65,carp-suite-intrapoch-skipsort,13,512,1,1,512,577000,6900000,0.134,0,46700.0,50784.0,19830.842,70615.00700000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,carp-suite-intrapoch-skipsort,45,64,12,1,512,6200000,7800000,0.039,0,52868.0,52913.0,1051.075,637623.515,6300000.0,7500000.0,6100000.0,7800000.0,6300000.0,7500000.0,6200000.0,7500000.0,6300000.0,7500000.0,6200000.0,7600000.0,6300000.0,7400000.0,6200000.0,7700000.0,5900000.0,7600000.0,6100000.0,7300000.0,6200000.0,7700000.0,53311.0,53396.0,53418.0,53495.0,54900.0,54976.0,51633.0,51782.0,55062.0,55154.0,51234.0,51344.0,52334.0,52450.0,51129.0,51200.0,52535.0,52633.0,54015.0,54174.0,52929.0,53055.0
67,carp-suite-intrapoch-skipsort,13,1024,1,1,512,158700,4500000,0.33,0,42384.0,54185.0,19498.033,73683.345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,carp-suite-intrapoch-skipsort,16,256,3,1,512,6200000,8900000,0.063,0,31632.0,31741.0,33081.166000000005,148393.68,6200000.0,8800000.0,6200000.0,10200000.0,,,,,,,,,,,,,,,,,,,32484.0,35785.0,43979.0,47787.0,,,,,,,,,,,,,,,,,,
69,carp-suite-intrapoch-skipsort,17,512,1,1,512,476100,7100000,0.18,0,57293.0,64456.0,37674.653999999995,102131.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,carp-suite-intrapoch-skipsort,43,512,1,1,512,1500000,7200000,0.139,0,48472.0,51064.0,23231.417,74295.534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,carp-suite-intrapoch-skipsort,12,128,6,1,512,3100000,7100000,0.037,0,39087.0,39178.0,1739.983,224887.318,5400000.0,7500000.0,5700000.0,7800000.0,3700000.0,7300000.0,6200000.0,8300000.0,5100000.0,7300000.0,,,,,,,,,,,,,36872.0,37025.0,36603.0,36708.0,36129.0,36242.0,36959.0,37113.0,36732.0,36882.0,,,,,,,,,,,,
72,carp-suite-intrapoch-skipsort,45,128,6,1,512,6300000,8300000,0.035,0,37193.0,37263.0,292.80400000000003,225035.80299999999,5300000.0,7400000.0,6200000.0,7900000.0,5300000.0,7500000.0,5300000.0,7400000.0,6100000.0,7700000.0,,,,,,,,,,,,,38889.0,39003.0,36992.0,37061.0,37456.0,37627.0,37573.0,37711.0,35935.0,36079.0,,,,,,,,,,,,
73,carp-suite-intrapoch-skipsort,19,1024,1,1,512,341300,4300000,0.184,0,41108.0,62593.0,10327.366,72920.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,carp-suite-intrapoch-skipsort,18,256,3,1,512,5300000,9500000,0.052,0,30092.0,30202.0,35316.729,131865.352,6200000.0,9300000.0,6200000.0,9200000.0,,,,,,,,,,,,,,,,,,,32473.0,32640.0,33596.0,33707.0,,,,,,,,,,,,,,,,,,
75,carp-suite-intrapoch-skipsort,18,512,1,1,512,584700,7500000,0.181,0,45773.0,45942.0,19779.703,65721.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,carp-suite-intrapoch-skipsort,16,32,12,1,512,6100000,7100000,0.05,0,82964.0,82983.0,102.937,965715.4410000001,6300000.0,7300000.0,3300000.0,8100000.0,6200000.0,7600000.0,6200000.0,9200000.0,6300000.0,7700000.0,5300000.0,7800000.0,6200000.0,7000000.0,6100000.0,8600000.0,6300000.0,7000000.0,6200000.0,8500000.0,6200000.0,8100000.0,79388.0,79425.0,81646.0,81741.0,81664.0,81712.0,78713.0,78721.0,78460.0,78491.0,79091.0,79115.0,79660.0,79688.0,79003.0,79044.0,81534.0,81573.0,79318.0,79335.0,83740.0,83785.0
77,carp-suite-intrapoch-skipsort,15,128,6,1,512,6200000,8800000,0.035,0,37075.0,37167.0,792.3480000000001,226216.72100000002,5900000.0,7600000.0,4400000.0,7300000.0,4900000.0,7500000.0,6100000.0,7700000.0,6200000.0,7800000.0,,,,,,,,,,,,,36581.0,37184.0,36062.0,36581.0,36453.0,36586.0,38898.0,38982.0,38756.0,38924.0,,,,,,,,,,,,
78,carp-suite-intrapoch-skipsort,44,64,12,1,512,6100000,7600000,0.041,0,57339.0,57427.0,314.627,648988.8949999999,6100000.0,7700000.0,6100000.0,7600000.0,5900000.0,7300000.0,6300000.0,7500000.0,6000000.0,7500000.0,6300000.0,7800000.0,1800000.0,9000000.0,5800000.0,7700000.0,5000000.0,7200000.0,4900000.0,7000000.0,5000000.0,7200000.0,53724.0,53767.0,52013.0,52155.0,52345.0,52456.0,55453.0,55571.0,52276.0,52324.0,54518.0,54575.0,55853.0,55890.0,54731.0,54780.0,53487.0,53559.0,52641.0,52717.0,53384.0,53454.0
79,carp-suite-intrapoch-skipsort,19,256,3,1,512,6200000,8900000,0.05,0,33431.0,33533.0,46972.058,149492.889,6200000.0,8900000.0,5900000.0,8500000.0,,,,,,,,,,,,,,,,,,,31079.0,31271.0,37551.0,37717.0,,,,,,,,,,,,,,,,,,
80,carp-suite-intrapoch-skipsort,14,256,3,1,512,6200000,9000000,0.047,0,31630.0,31764.0,27908.328,134549.397,6000000.0,8700000.0,6200000.0,8900000.0,,,,,,,,,,,,,,,,,,,30918.0,31092.0,43240.0,43785.0,,,,,,,,,,,,,,,,,,
81,carp-suite-intrapoch-skipsort,45,1024,1,1,512,199600,4600000,0.326,0,41202.0,53910.0,11550.829,65460.623999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
