,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
82,carp-suite-intraepoch-skipsort,512,1,750000,256,45,57,0.069
116,carp-suite-intraepoch-skipsort,512,1,750000,512,11,101,0.05
168,carp-suite-intraepoch-skipsort,512,1,750000,512,41,67,0.058
142,carp-suite-intraepoch-skipsort,512,1,750000,512,42,72,0.056
29,carp-suite-intraepoch-skipsort,512,1,750000,512,43,68,0.066
138,carp-suite-intraepoch-skipsort,512,1,750000,512,44,56,0.062
91,carp-suite-intraepoch-skipsort,512,1,750000,512,45,64,0.07
123,carp-suite-intraepoch-skipsort,512,1,750000,1024,11,72,0.554
79,carp-suite-intraepoch-skipsort,512,1,750000,1024,41,69,0.036
108,carp-suite-intraepoch-skipsort,512,1,750000,1024,42,74,0.042
24,carp-suite-intraepoch-skipsort,512,1,750000,1024,43,67,0.053
23,carp-suite-intraepoch-skipsort,512,1,750000,1024,44,68,0.046
125,carp-suite-intraepoch-skipsort,512,1,750000,1024,45,62,0.052
45,carp-suite-intraepoch-skipsort,512,1,750000,2048,11,108,0.343
126,carp-suite-intraepoch-skipsort,512,1,750000,2048,41,67,0.036
0,carp-suite-intraepoch-skipsort,512,1,750000,2048,42,67,0.06
60,carp-suite-intraepoch-skipsort,512,1,750000,2048,43,67,0.045
98,carp-suite-intraepoch-skipsort,512,1,750000,2048,44,57,0.044
140,carp-suite-intraepoch-skipsort,512,1,750000,2048,45,66,0.048
59,carp-suite-intraepoch-skipsort,512,1,1000000,64,41,65,0.129
153,carp-suite-intraepoch-skipsort,512,1,1000000,64,42,69,0.138
110,carp-suite-intraepoch-skipsort,512,1,1000000,64,43,76,0.133
134,carp-suite-intraepoch-skipsort,512,1,1000000,64,44,79,0.126
109,carp-suite-intraepoch-skipsort,512,1,1000000,64,45,62,0.139
14,carp-suite-intraepoch-skipsort,512,1,1000000,128,41,67,0.091
90,carp-suite-intraepoch-skipsort,512,1,1000000,128,42,76,0.079
120,carp-suite-intraepoch-skipsort,512,1,1000000,128,43,70,0.102
103,carp-suite-intraepoch-skipsort,512,1,1000000,128,44,69,0.109
165,carp-suite-intraepoch-skipsort,512,1,1000000,128,45,75,0.101
159,carp-suite-intraepoch-skipsort,512,1,1000000,256,41,77,0.077
19,carp-suite-intraepoch-skipsort,512,1,1000000,256,42,75,0.109
