,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax
31,carp-suite-intraepoch-skipsort,41,512,1,1000000,1024,4800000,10300000,0.056,0,39006.0,58277.0,7646.646,65924.12400000001,,,,,,,,,,,,,,,,,,,,
32,carp-suite-intraepoch-skipsort,42,512,1,3000000,512,3600000,8500000,0.096,0,42139.0,47062.0,11639.453,58701.289000000004,,,,,,,,,,,,,,,,,,,,
33,carp-suite-intraepoch-skipsort,42,512,1,500000,512,1600000,8000000,0.047,0,46408.0,46575.0,12476.573,59051.958,,,,,,,,,,,,,,,,,,,,
34,carp-suite-intraepoch-skipsort,45,512,1,500000,1024,4200000,10500000,0.042,0,38713.0,48175.0,31168.904000000002,79344.348,,,,,,,,,,,,,,,,,,,,
35,carp-suite-intraepoch-skipsort,41,512,1,500000,512,2900000,7700000,0.05,0,50103.0,50341.0,17314.73,67655.82,,,,,,,,,,,,,,,,,,,,
36,carp-suite-intraepoch-skipsort,44,512,1,3000000,64,199800,15200000,0.123,0,36617.0,41572.0,32830.816,74402.724,,,,,,,,,,,,,,,,,,,,
37,carp-suite-intraepoch-skipsort,11,1024,1,750000,1024,188000,4099999,0.3,0,45635.0,65369.0,25300.736,90670.12,,,,,,,,,,,,,,,,,,,,
38,carp-suite-intraepoch-skipsort,45,512,1,750000,64,24800,10900000,0.133,0,36706.0,47792.0,28341.332000000002,76133.078,,,,,,,,,,,,,,,,,,,,
39,carp-suite-intraepoch-skipsort,43,512,1,3000000,128,61900,8900000,0.12,0,67189.0,68018.0,7651.466,75669.848,,,,,,,,,,,,,,,,,,,,
40,carp-suite-intraepoch-skipsort,11,1024,1,750000,512,71900,4200000,0.098,0,76644.0,76868.0,12303.478000000001,89171.825,,,,,,,,,,,,,,,,,,,,
41,carp-suite-intraepoch-skipsort,43,512,1,1000000,256,184800,9900000,0.066,0,38264.0,42931.0,5490.929,48421.974,,,,,,,,,,,,,,,,,,,,
42,carp-suite-intraepoch-skipsort,45,512,1,3000000,512,2100000,7700000,0.113,0,56877.0,64605.99999999999,10791.686,75397.43,,,,,,,,,,,,,,,,,,,,
43,carp-suite-intraepoch-skipsort,41,512,1,250000,128,47100,8900000,0.103,0,57318.0,57544.0,17387.735,74931.85800000001,,,,,,,,,,,,,,,,,,,,
44,carp-suite-intraepoch-skipsort,42,512,1,3000000,1024,3500000,11000000,0.218,0,61896.0,62084.0,5437.686000000001,67522.012,,,,,,,,,,,,,,,,,,,,
45,carp-suite-intraepoch-skipsort,11,512,1,750000,2048,280800,9800000,0.343,0,59127.0,72855.0,35382.503,108237.252,,,,,,,,,,,,,,,,,,,,
46,carp-suite-intraepoch-skipsort,44,512,1,500000,1024,5200000,10000000,0.034,0,39704.0,42668.0,24031.355,66699.629,,,,,,,,,,,,,,,,,,,,
47,carp-suite-intraepoch-skipsort,42,512,1,500000,64,37000,11300000,0.136,0,46599.0,46774.0,21110.257,67883.768,,,,,,,,,,,,,,,,,,,,
48,carp-suite-intraepoch-skipsort,41,512,1,3000000,64,149800,10700000,0.156,0,58609.0,58756.0,7954.534,66710.606,,,,,,,,,,,,,,,,,,,,
49,carp-suite-intraepoch-skipsort,44,512,1,3000000,2048,3800000,8500000,0.125,0,55824.0,56006.0,8819.941,64825.676999999996,,,,,,,,,,,,,,,,,,,,
50,carp-suite-intraepoch-skipsort,43,512,1,250000,128,47500,10700000,0.095,0,55908.0,56054.0,12299.994,68353.635,,,,,,,,,,,,,,,,,,,,
51,carp-suite-intraepoch-skipsort,43,512,1,1000000,512,2700000,10700000,0.062,0,38622.0,50803.0,22139.503,72942.38,,,,,,,,,,,,,,,,,,,,
52,carp-suite-intraepoch-skipsort,43,512,1,500000,2048,4700000,8400000,0.042,0,51172.0,51359.0,18156.05,69515.491,,,,,,,,,,,,,,,,,,,,
53,carp-suite-intraepoch-skipsort,45,512,1,250000,512,1500000,8600000,0.041,0,44531.0,44714.0,24298.321,69012.519,,,,,,,,,,,,,,,,,,,,
54,carp-suite-intraepoch-skipsort,11,256,3,1000000,512,6200000,10800000,0.066,0,32938.0,33080.0,45691.898,149297.35400000002,6200000.0,10800000.0,6200000.0,10800000.0,,,,,,,33932.0,34038.0,36335.0,36487.0,,,,,,
55,carp-suite-intraepoch-skipsort,11,256,3,1000000,1024,6200000,11000000,0.074,0,31066.0,31223.0,45008.608,145745.61299999998,6200000.0,11000000.0,6200000.0,11000000.0,,,,,,,34017.0,34114.0,35260.0,35400.0,,,,,,
56,carp-suite-intraepoch-skipsort,41,512,1,3000000,2048,3500000,10200000,0.204,0,52999.0,53169.0,28143.460000000003,81312.818,,,,,,,,,,,,,,,,,,,,
