,runtype,nranks,epcnt,run,total_io_time,load_std
229,dfs-reg-suite,512,1,16,77,0
237,dfs-reg-suite,512,1,17,66,0
211,dfs-reg-suite,512,1,18,70,0
238,dfs-reg-suite,512,1,19,82,0
189,dfs-reg-suite,512,1,20,70,0
194,dfs-reg-suite,512,1,41,58,0
215,dfs-reg-suite,512,1,42,74,0
216,dfs-reg-suite,512,1,43,60,0
175,dfs-reg-suite,512,1,44,91,0
207,dfs-reg-suite,512,1,45,75,0
239,dfs-reg-suite,1024,1,11,79,0
171,dfs-reg-suite,1024,1,12,99,0
214,dfs-reg-suite,1024,1,13,75,0
200,dfs-reg-suite,1024,1,14,94,0
227,dfs-reg-suite,1024,1,15,74,0
206,dfs-reg-suite,1024,1,16,56,0
210,dfs-reg-suite,1024,1,17,75,0
160,dfs-reg-suite,1024,1,18,75,0
213,dfs-reg-suite,1024,1,19,66,0
208,dfs-reg-suite,1024,1,20,93,0
228,dfs-reg-suite,1024,1,41,56,0
184,dfs-reg-suite,1024,1,42,68,0
220,dfs-reg-suite,1024,1,43,62,0
221,dfs-reg-suite,1024,1,44,71,0
234,dfs-reg-suite,1024,1,45,77,0
125,network-suite,32,12,16,934,0
128,network-suite,32,12,17,932,0
135,network-suite,32,12,18,922,0
124,network-suite,32,12,19,927,0
149,network-suite,32,12,20,931,0
155,network-suite,64,12,16,613,0
148,network-suite,64,12,17,610,0
134,network-suite,64,12,18,607,0
133,network-suite,64,12,19,615,0
112,network-suite,64,12,20,616,0
156,network-suite,128,6,11,214,0
140,network-suite,128,6,12,218,0
111,network-suite,128,6,13,213,0
119,network-suite,128,6,14,212,0
114,network-suite,128,6,15,212,0
123,network-suite,128,6,16,213,0
121,network-suite,128,6,17,214,0
147,network-suite,128,6,18,216,0
153,network-suite,128,6,19,212,0
131,network-suite,128,6,20,213,0
130,network-suite,256,3,11,77,0
113,network-suite,256,3,12,79,0
118,network-suite,256,3,13,82,0
116,network-suite,256,3,14,79,0
127,network-suite,256,3,15,78,0
146,network-suite,256,3,16,80,0
152,network-suite,256,3,17,79,0
154,network-suite,256,3,18,83,0
117,network-suite,256,3,19,77,0
145,network-suite,256,3,20,78,0
120,network-suite,512,1,11,27,0
122,network-suite,512,1,12,26,0
143,network-suite,512,1,13,28,0
144,network-suite,512,1,14,27,0
129,network-suite,512,1,15,27,0
151,network-suite,512,1,16,27,0
157,network-suite,512,1,17,27,0
139,network-suite,512,1,18,27,0
158,network-suite,512,1,19,27,0
126,network-suite,512,1,20,26,0
159,network-suite,1024,1,11,18,0
115,network-suite,1024,1,12,15,0
142,network-suite,1024,1,13,14,0
132,network-suite,1024,1,14,16,0
150,network-suite,1024,1,15,19,0
136,network-suite,1024,1,16,16,0
138,network-suite,1024,1,17,20,0
110,network-suite,1024,1,18,17,0
141,network-suite,1024,1,19,26,0
137,network-suite,1024,1,20,17,0
