,run,epcnt,intvl,pvtcnt,drop,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
0,2,12,250000,1024,0,2400000,7700000,0.12,0,179866.0,183955.0,187714.0,191723.0,199641.0,203677.0,251036.0,259094.0,249021.0,257221.0,185804.0,193869.0,212938.0,221000.0,196845.0,200978.0,200904.0,205039.0,244932.0,248971.0,216666.0,216831.0,215914.0,216046.0,1426.919,2599830.588
1,2,12,500000,1024,0,2300000,8100000,0.118,0,207874.0,208024.0,196632.0,197478.0,229226.0,233920.0,257911.0,266056.0,240472.0,244642.0,229075.0,229212.0,200036.0,200194.0,198574.0,198699.0,196066.0,196174.0,232168.0,236193.0,194078.0,202162.0,221444.0,228178.0,158.1,2641090.667
2,2,12,500000,256,0,143900,11400000,0.075,0,195693.0,196326.0,239610.0,244160.0,217106.0,225067.0,210472.0,218482.0,272179.0,280156.0,182931.0,187878.0,263478.0,265924.0,211145.0,216667.0,209740.0,213845.0,262089.99999999997,266119.0,283739.0,291708.0,260065.99999999997,268941.0,66.941,2875341.101
3,2,12,250000,4096,0,3600000,9000000,0.036,0,173609.0,173808.0,195789.0,199793.0,266552.0,273380.0,203264.0,209828.0,227106.0,234512.0,232795.0,240747.0,235023.0,239082.0,222151.0,225179.0,210325.0,217399.0,231089.0,235168.0,190418.0,190533.0,240125.0,244328.0,19.717,2683776.572
4,2,12,500000,2048,0,1300000,7900000,0.219,0,225960.0,230040.0,189534.0,193660.0,202230.0,206164.0,271681.0,279627.0,278057.0,286101.0,199722.0,203792.0,196299.0,199343.0,187857.0,194860.0,182284.0,190329.0,208612.0,216725.0,195408.0,199530.0,184382.0,184513.0,14.895999999999999,2584698.218
5,2,12,250000,2048,0,5200000,8500000,0.025,0,188968.0,193082.0,191920.0,196023.0,227868.0,228024.0,232078.0,236150.0,189017.0,193152.0,262932.0,263948.0,189195.0,193261.0,188329.0,191849.0,177605.0,177727.0,206831.0,210912.0,214457.0,221458.0,212732.0,215894.0,18.838,2521498.596
6,2,12,250000,256,0,184100,11400000,0.077,0,218641.0,223634.0,199124.0,207027.0,224948.0,229037.0,234552.0,240949.0,216215.0,226459.0,228685.0,238051.0,238653.0,245585.0,253675.0,260523.00000000003,222661.0,226800.0,223618.0,227671.0,241021.0,249057.0,250946.0,267381.0,18.781,2842192.576
7,2,12,500000,512,0,2000000,7000000,0.087,0,166783.0,170895.0,213834.0,218028.0,223109.0,223311.0,198406.0,202522.0,228611.0,233721.0,199831.0,203887.0,218695.0,222743.0,271553.0,279843.0,220933.0,230277.0,192925.0,202878.0,189986.0,198724.0,187314.0,195271.0,13.114,2582113.829
8,2,12,250000,512,0,1100000,7700000,0.122,0,178057.0,178233.0,204487.0,204605.0,205537.0,205639.0,223840.0,230035.0,219510.0,227376.0,252441.0,256974.0,193812.0,199220.0,284936.0,290969.0,184083.0,187985.0,222120.0,225596.0,219437.0,226601.0,215455.0,223411.0,19.328000000000003,2656663.96
