,epcnt,wr_min,wr_max,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax
0,6,6600000,6600000,0,53145.0,53722.0,323471.0,324013.0,259503.0,260088.00000000003,200876.0,201749.0,168730.0,169434.0,165190.0,165715.0,8824.215,1183546.443,,,,,,
1,1,6600000,6600000,0,92785.0,102763.0,,,,,,,,,,,52302.135,155065.12699999998,,,,,,
2,9,6600000,6600000,0,90607.0,97468.0,149719.0,150348.0,111797.0,112422.0,123282.0,123868.0,138620.0,139343.0,150419.0,151292.0,7037.994000000001,1152629.112,132755.0,133626.0,121320.0,122008.0,114665.0,115216.0
