,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,load_std,wr_dropped,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time,epoch9_wr_min,epoch9_wr_max,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max
94,dfs-reg-suite,2,256,12,6500000,6600000,6500000.0,6600000.0,6500000.0,7300000.0,5800000.0,7200000.0,5900000.0,6600000.0,6500000.0,6600000.0,6500000.0,6800000.0,6300000.0,6600000.0,0,0,52632.0,59270.0,48336.0,63099.0,52354.0,62260.0,26305.0,48425.0,44993.0,55125.0,31915.0,43485.0,41535.0,52246.0,54732.0,64310.0,11931.618999999999,629184.127,6500000.0,6700000.0,,,,,31597.0,39681.0,34132.0,45324.0,6500000.0,7100000.0,5900000.0,6600000.0,,
95,dfs-reg-suite,2,512,1,6500000,6600000,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,1277.028,263035.342,,,97112.0,261757.99999999997,,,,,,,,,,,,
96,dfs-reg-suite,2,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,16222.000000000002,16251.000000000002,16397.0,16418.0,16868.0,16904.0,17537.0,17564.0,16880.0,16900.0,17049.0,17083.0,17639.0,17659.0,17828.0,17868.0,65.19800000000001,193359.201,6500000.0,6600000.0,11599.0,11624.0,14375.0,14400.0,14849.0,14894.0,15697.0,15729.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
97,dfs-reg-suite,1,32,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,82487.0,84125.0,82703.0,83302.0,83310.0,84768.0,85474.0,85928.0,86126.0,86319.0,84727.0,85499.0,82900.0,85049.0,86863.0,87835.0,125.023,1003910.24,6500000.0,6600000.0,,,77933.0,79009.0,76982.0,78113.0,84857.0,85774.0,6500000.0,6600000.0,6500000.0,6600000.0,,
98,dfs-reg-suite,1,16,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,15578.0,15613.0,15950.0,15978.0,16271.0,16302.0,16485.0,16506.0,16466.0,16491.0,16804.0,16835.0,17642.0,17666.0,17262.0,17294.0,208.232,187741.276,6500000.0,6600000.0,11497.0,11522.0,13839.0,13878.0,14420.0,14452.0,14945.0,14996.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0
99,dfs-reg-suite,1,512,9,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,,,,,,,0,0,,,102893.0,241312.0,143862.0,247341.0,112669.0,247126.0,95750.0,246081.0,,,,,,,1290.417,2263953.7770000002,,,,,,,,,,,,,,,,
100,dfs-reg-suite,2,128,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,30316.0,46136.0,31081.0,48554.0,31649.0,47048.0,31064.0,48320.0,31771.0,46422.0,31997.0,46511.0,31327.0,49038.0,31738.0,50839.0,4661.343,557264.167,6500000.0,6600000.0,,,,,30823.0,43081.0,32384.0,46549.0,6500000.0,6600000.0,6500000.0,6600000.0,,
101,dfs-reg-suite,2,64,12,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,40523.0,68626.0,38908.0,71945.0,38318.0,72071.0,41204.0,70519.0,43780.0,72391.0,43750.0,67237.0,41642.0,70188.0,41076.0,67979.0,237.423,819400.524,6500000.0,6600000.0,,,,,37620.0,65865.0,38814.0,69472.0,6500000.0,6600000.0,6500000.0,6600000.0,,
102,dfs-reg-suite,1,512,12,6500000,13100000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,28318.0,152208.0,37049.0,154477.0,24352.0,131012.0,31900.0,216339.0,30956.0,146032.0,38709.0,153739.0,40493.0,171585.0,38688.0,148733.0,1003.8309999999999,1752355.493,6500000.0,6600000.0,,,,,34628.0,122680.0,28323.0,125520.0,6500000.0,13100000.0,6500000.0,6600000.0,,
103,dfs-reg-suite,1,256,12,6500000,7200000,5900000.0,7000000.0,6100000.0,7000000.0,6000000.0,7000000.0,6100000.0,7200000.0,5900000.0,13100000.0,6500000.0,7200000.0,5900000.0,6800000.0,0,0,42716.0,56522.0,38751.0,49428.0,47894.0,57588.0,35021.0,43243.0,50421.0,59422.0,43467.0,55098.0,41198.0,53680.0,43652.0,52050.0,16824.076,625617.834,6300000.0,7100000.0,,,,,43632.0,55513.0,45966.0,55194.0,6000000.0,6800000.0,6300000.0,6600000.0,,
