,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
10,carp-suite,3,64,12,750000,2048,4099999,8500000,5900000,7900000,6000000,8400000,6300000,9300000,6100000,8300000,6200000,8300000,6000000,8300000,5800000,7900000,6200000,8400000,5900000,8199999,5900000,8600000,5800000,8199999,0.061,0,61197.0,61269.0,72225.0,72360.0,75654.0,75827.0,75331.0,75423.0,77833.0,77938.0,77742.0,77840.0,78452.0,78574.0,77774.0,77922.0,76389.0,76476.0,78356.0,78405.0,78568.0,78610.0,80822.0,80869.0,176.644,911689.909
11,carp-suite,1,128,12,750000,1024,4000000,10800000,4200000,8300000,4400000,8600000,4500000,8000000,4700000,9400000,5200000,8300000,4200000,8700000,5900000,8600000,4300000,8800000,4700000,9600000,4000000,8800000,5400000,8400000,0.102,0,41778.0,41896.0,53516.0,53678.0,54514.0,54592.0,57013.0,57200.0,58206.0,58425.0,56141.0,56308.0,56115.0,56240.0,60429.0,60542.0,58638.0,58863.0,56131.0,56383.0,57889.0,58048.0,61343.0,61507.0,223.81599999999997,673905.8659999999
12,carp-suite,2,64,12,1000000,1024,5300000,9600000,3800000,10000000,4800000,9700000,5100000,7800000,3800000,9000000,4800000,9600000,4600000,9100000,4700000,8800000,4400000,9300000,4400000,9200000,5000000,9700000,4900000,9700000,0.07,0,53822.0,53913.0,56274.0,56372.0,55676.0,55747.0,58813.0,58881.0,56438.0,56512.0,58089.0,58163.0,56179.0,56255.0,55944.0,56043.0,55914.0,56084.0,57552.0,57699.0,59320.0,59419.0,57933.0,58071.0,130.378,683288.952
13,carp-suite,3,64,12,1000000,2048,5300000,9300000,4600000,9700000,4600000,9200000,5000000,8000000,5300000,7600000,5600000,8500000,6100000,8400000,5600000,8900000,4600000,9300000,4900000,8500000,4600000,9400000,4600000,8900000,0.062,0,54500.0,54535.0,54657.0,54737.0,54438.0,54487.0,58882.0,58940.0,55698.0,55830.0,58140.0,58236.0,58789.0,58921.0,56936.0,57027.0,56624.0,56693.0,57470.0,57563.0,55736.0,55841.0,59848.0,59971.0,283.634,683066.915
14,carp-suite,2,64,12,750000,2048,5500000,8199999,6200000,7600000,6000000,7900000,5900000,8000000,5900000,7600000,5800000,7700000,5800000,7800000,6200000,9200000,6000000,7800000,6000000,7800000,6000000,7900000,5800000,8100000,0.063,0,62669.0,62709.0,72744.0,72823.0,77410.0,77580.0,77713.0,77937.0,78712.0,78888.0,76516.0,76695.0,76833.0,76989.0,77927.0,77975.0,78236.0,78289.0,77461.0,77622.0,79098.0,79273.0,75109.0,75223.0,152.082,912155.929
15,carp-suite,1,32,12,750000,1024,6300000,8000000,6200000,8500000,6200000,7900000,6000000,8300000,6200000,7900000,6200000,8000000,6200000,7900000,6000000,8100000,6300000,7900000,6000000,8199999,6200000,7700000,6300000,7800000,0.05,0,84218.0,84254.0,87246.0,87393.0,86741.0,86860.0,88800.0,88843.0,88545.0,88586.0,91388.0,91412.0,90845.0,90862.0,91491.0,91523.0,93324.0,93339.0,88532.0,88558.0,87485.0,87510.0,90462.0,90567.0,99.304,1069805.362
16,carp-suite,2,32,12,1000000,2048,6300000,8000000,6300000,8100000,6300000,7900000,6200000,8100000,6200000,8000000,6200000,7700000,6200000,8100000,6200000,8500000,5900000,8900000,5900000,8900000,6200000,8000000,6100000,8100000,0.052,0,88602.0,88649.0,84701.0,84726.0,85020.0,85044.0,86291.0,86316.0,85959.0,85968.0,85226.0,85286.0,87342.0,87457.0,85486.0,85638.0,84899.0,84973.0,85562.0,85596.0,85874.0,85998.0,85772.0,85925.0,94.51700000000001,1031672.518
17,carp-suite,2,512,12,750000,1024,5700000,11600000,5400000,11300000,4300000,10500000,3200000,7800000,2800000,9500000,6000000,12300000,5200000,10800000,2300000,8100000,3500000,16100000,3600000,12500000,5300000,12100000,3700000,11100000,0.065,0,58864.0,59110.0,93309.0,93496.0,95135.0,99649.0,120505.0,125024.0,132690.0,132967.0,117341.0,117632.0,117248.0,117459.0,134291.0,134500.0,110612.0,110776.0,119828.0,120097.0,115195.0,115415.0,123059.0,123315.0,1752.153,1351190.8869999999
18,carp-suite,3,16,12,1000000,1024,5400000,8000000,5100000,8500000,5200000,8300000,5000000,9000000,5100000,8900000,5300000,8300000,5100000,8900000,5100000,8900000,5000000,9100000,5500000,8900000,5000000,8900000,5500000,8900000,0.104,0,17599.0,17619.0,23688.0,23717.0,23771.0,23793.0,24735.0,24762.0,25457.0,25475.0,25481.0,25552.0,25718.0,25786.0,25999.0,26017.0,26019.0,26031.0,25802.0,25883.0,25969.0,26048.0,26611.0,26641.0,66.625,297390.69299999997
19,carp-suite,1,16,12,1000000,1024,5100000,8900000,5100000,8700000,5300000,8400000,5300000,8100000,6300000,7400000,5100000,8800000,5800000,8500000,5500000,8199999,5700000,8000000,5300000,8500000,5000000,8600000,5400000,8400000,0.085,0,16782.0,16786.0,22008.0,22016.0,22434.0,22449.0,23695.0,23709.0,23490.0,23502.0,24200.0,24210.0,25008.0,25126.0,24488.0,24607.0,24555.0,24571.0,24593.0,24617.0,25941.0,25966.0,25195.0,25243.0,157.96099999999998,282959.888
