,runtype,nranks,epcnt,run,total_io_time,load_std
15,dfs-ioonly,32,12,16,88,0
18,dfs-ioonly,32,12,17,87,0
25,dfs-ioonly,32,12,18,87,0
14,dfs-ioonly,32,12,19,86,0
39,dfs-ioonly,32,12,20,88,0
45,dfs-ioonly,64,12,16,198,0
38,dfs-ioonly,64,12,17,143,0
24,dfs-ioonly,64,12,18,111,0
23,dfs-ioonly,64,12,19,132,0
2,dfs-ioonly,64,12,20,116,0
46,dfs-ioonly,128,6,11,186,0
30,dfs-ioonly,128,6,12,142,0
1,dfs-ioonly,128,6,13,128,0
9,dfs-ioonly,128,6,14,117,0
4,dfs-ioonly,128,6,15,135,0
13,dfs-ioonly,128,6,16,145,0
11,dfs-ioonly,128,6,17,175,0
37,dfs-ioonly,128,6,18,185,0
43,dfs-ioonly,128,6,19,202,0
21,dfs-ioonly,128,6,20,135,0
20,dfs-ioonly,256,3,11,125,0
3,dfs-ioonly,256,3,12,184,0
8,dfs-ioonly,256,3,13,184,0
6,dfs-ioonly,256,3,14,189,0
17,dfs-ioonly,256,3,15,176,0
36,dfs-ioonly,256,3,16,138,0
42,dfs-ioonly,256,3,17,187,0
44,dfs-ioonly,256,3,18,177,0
7,dfs-ioonly,256,3,19,199,0
35,dfs-ioonly,256,3,20,173,0
10,dfs-ioonly,512,1,11,73,0
12,dfs-ioonly,512,1,12,84,0
33,dfs-ioonly,512,1,13,76,0
34,dfs-ioonly,512,1,14,71,0
19,dfs-ioonly,512,1,15,53,0
41,dfs-ioonly,512,1,16,74,0
47,dfs-ioonly,512,1,17,63,0
29,dfs-ioonly,512,1,18,90,0
48,dfs-ioonly,512,1,19,69,0
16,dfs-ioonly,512,1,20,78,0
49,dfs-ioonly,1024,1,11,70,0
5,dfs-ioonly,1024,1,12,67,0
32,dfs-ioonly,1024,1,13,87,0
22,dfs-ioonly,1024,1,14,104,0
40,dfs-ioonly,1024,1,15,73,0
26,dfs-ioonly,1024,1,16,93,0
28,dfs-ioonly,1024,1,17,89,0
0,dfs-ioonly,1024,1,18,110,0
31,dfs-ioonly,1024,1,19,88,0
27,dfs-ioonly,1024,1,20,98,0
115,dfs-reg-suite,32,12,16,944,0
118,dfs-reg-suite,32,12,17,973,0
125,dfs-reg-suite,32,12,18,979,0
114,dfs-reg-suite,32,12,19,951,0
139,dfs-reg-suite,32,12,20,956,0
145,dfs-reg-suite,64,12,16,631,0
138,dfs-reg-suite,64,12,17,641,0
124,dfs-reg-suite,64,12,18,634,0
123,dfs-reg-suite,64,12,19,636,0
102,dfs-reg-suite,64,12,20,638,0
146,dfs-reg-suite,128,6,11,234,0
130,dfs-reg-suite,128,6,12,233,0
101,dfs-reg-suite,128,6,13,268,0
109,dfs-reg-suite,128,6,14,256,0
104,dfs-reg-suite,128,6,15,233,0
113,dfs-reg-suite,128,6,16,242,0
111,dfs-reg-suite,128,6,17,239,0
137,dfs-reg-suite,128,6,18,230,0
143,dfs-reg-suite,128,6,19,239,0
121,dfs-reg-suite,128,6,20,236,0
120,dfs-reg-suite,256,3,11,141,0
103,dfs-reg-suite,256,3,12,127,0
108,dfs-reg-suite,256,3,13,126,0
106,dfs-reg-suite,256,3,14,151,0
117,dfs-reg-suite,256,3,15,131,0
136,dfs-reg-suite,256,3,16,139,0
142,dfs-reg-suite,256,3,17,138,0
144,dfs-reg-suite,256,3,18,149,0
107,dfs-reg-suite,256,3,19,145,0
135,dfs-reg-suite,256,3,20,136,0
110,dfs-reg-suite,512,1,11,102,0
112,dfs-reg-suite,512,1,12,75,0
133,dfs-reg-suite,512,1,13,61,0
134,dfs-reg-suite,512,1,14,51,0
119,dfs-reg-suite,512,1,15,97,0
141,dfs-reg-suite,512,1,16,77,0
147,dfs-reg-suite,512,1,17,66,0
129,dfs-reg-suite,512,1,18,70,0
148,dfs-reg-suite,512,1,19,82,0
116,dfs-reg-suite,512,1,20,70,0
149,dfs-reg-suite,1024,1,11,79,0
105,dfs-reg-suite,1024,1,12,99,0
132,dfs-reg-suite,1024,1,13,75,0
122,dfs-reg-suite,1024,1,14,94,0
140,dfs-reg-suite,1024,1,15,74,0
126,dfs-reg-suite,1024,1,16,56,0
128,dfs-reg-suite,1024,1,17,75,0
100,dfs-reg-suite,1024,1,18,75,0
131,dfs-reg-suite,1024,1,19,66,0
127,dfs-reg-suite,1024,1,20,93,0
65,network-suite,32,12,16,934,0
68,network-suite,32,12,17,932,0
75,network-suite,32,12,18,922,0
64,network-suite,32,12,19,927,0
89,network-suite,32,12,20,931,0
95,network-suite,64,12,16,613,0
88,network-suite,64,12,17,610,0
74,network-suite,64,12,18,607,0
73,network-suite,64,12,19,615,0
52,network-suite,64,12,20,616,0
96,network-suite,128,6,11,214,0
80,network-suite,128,6,12,218,0
51,network-suite,128,6,13,213,0
59,network-suite,128,6,14,212,0
54,network-suite,128,6,15,212,0
63,network-suite,128,6,16,213,0
61,network-suite,128,6,17,214,0
87,network-suite,128,6,18,216,0
93,network-suite,128,6,19,212,0
71,network-suite,128,6,20,213,0
70,network-suite,256,3,11,77,0
53,network-suite,256,3,12,79,0
