,runtype,nranks,epcnt,run,total_io_time,load_std
58,network-suite,256,3,13,82,0
56,network-suite,256,3,14,79,0
67,network-suite,256,3,15,78,0
86,network-suite,256,3,16,80,0
92,network-suite,256,3,17,79,0
94,network-suite,256,3,18,83,0
57,network-suite,256,3,19,77,0
85,network-suite,256,3,20,78,0
60,network-suite,512,1,11,27,0
62,network-suite,512,1,12,26,0
83,network-suite,512,1,13,28,0
84,network-suite,512,1,14,27,0
69,network-suite,512,1,15,27,0
91,network-suite,512,1,16,27,0
97,network-suite,512,1,17,27,0
79,network-suite,512,1,18,27,0
98,network-suite,512,1,19,27,0
66,network-suite,512,1,20,26,0
99,network-suite,1024,1,11,18,0
55,network-suite,1024,1,12,15,0
82,network-suite,1024,1,13,14,0
72,network-suite,1024,1,14,16,0
90,network-suite,1024,1,15,19,0
76,network-suite,1024,1,16,16,0
78,network-suite,1024,1,17,20,0
50,network-suite,1024,1,18,17,0
81,network-suite,1024,1,19,26,0
77,network-suite,1024,1,20,17,0
