,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
17,dfs-ioonly,15,256,3,6500000,6500000,0,0,4857.0,19516.0,45994.693,176023.12699999998,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5457.0,23981.0,5172.0,86531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,dfs-ioonly,17,32,12,6500000,6500000,0,0,,,236.794,87837.816,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6475.0,7374.0,6509.0,7355.0,6258.0,7231.0,6158.0,7184.0,6319.0,7440.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6334.0,7209.0,6426.0,7331.0,6444.0,7279.0,6285.0,7397.0,6418.0,7295.0,6458.0,7418.0
19,dfs-ioonly,15,512,1,6500000,6500000,0,0,5281.0,39777.0,14120.005000000001,53896.99800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,dfs-ioonly,11,256,3,6500000,6500000,0,0,3647.0,22120.0,18306.217,125823.318,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,6076.0,19801.0,4814.0,65596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,dfs-ioonly,20,128,6,6500000,6500000,0,0,6007.0,6967.0,28034.275,135065.051,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6252.0,13184.0,5359.0,18526.0,5660.0,16698.0,5597.0,17059.0,5648.0,34597.0,,,,,,,,,,,,,,,,,,,,,,
22,dfs-ioonly,14,1024,1,3300000,3300000,0,0,3080.0,59551.0,45364.565,104915.87800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,dfs-ioonly,19,64,12,6500000,6500000,0,0,,,8418.742,132605.266,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6207.0,7571.0,6393.0,7314.0,6175.0,7419.0,5801.0,13206.0,5904.0,12419.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6094.0,11916.0,6130.0,11324.0,6172.0,11638.0,6077.0,11169.0,5889.0,11291.0,6081.0,11896.0
24,dfs-ioonly,18,64,12,6500000,6500000,0,0,,,8521.94,111506.548,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6348.0,7384.0,6276.0,7469.0,6467.0,7386.0,6438.0,7263.0,6188.0,9464.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,5900.0,9372.0,5986.0,9756.0,6126.0,9401.0,6160.0,9449.0,6191.0,9730.0,6201.0,9351.0
25,dfs-ioonly,18,32,12,6500000,6500000,0,0,,,279.752,87556.122,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6342.0,7387.0,6405.0,7276.0,6432.0,7228.0,6388.0,7319.0,6350.0,7225.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6408.0,7293.0,6321.0,7154.0,6490.0,7364.0,6216.0,7344.0,5999.0,7211.0,6128.0,7400.0
26,dfs-ioonly,16,1024,1,3300000,3300000,0,0,3019.0,48836.0,45133.999,93969.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,dfs-ioonly,20,1024,1,3300000,3300000,0,0,3062.0,53154.0,45474.176,98628.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,dfs-ioonly,17,1024,1,3300000,3300000,0,0,2955.0,63318.0,26029.25,89347.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,dfs-ioonly,18,512,1,6500000,6500000,0,0,4925.0,70757.0,19700.354,90456.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,dfs-ioonly,12,128,6,6500000,6500000,0,0,5465.0,11006.0,24340.868000000002,142715.935,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6232.0,10295.0,6011.0,10826.0,5751.0,16816.0,5653.0,35975.0,5920.0,33457.0,,,,,,,,,,,,,,,,,,,,,,
31,dfs-ioonly,19,1024,1,3300000,3300000,0,0,2971.0,48950.0,39755.336,88705.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,dfs-ioonly,13,1024,1,3300000,3300000,0,0,2847.0,46168.0,41694.240999999995,87861.80500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,dfs-ioonly,13,512,1,6500000,6500000,0,0,5567.0,54834.0,21454.326999999997,76288.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,dfs-ioonly,14,512,1,6500000,6500000,0,0,5391.0,46419.0,24659.468,71078.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,dfs-ioonly,20,256,3,6500000,6500000,0,0,5642.0,17143.0,57322.928,173529.72199999998,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5926.0,25866.0,5173.0,73197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,dfs-ioonly,16,256,3,6500000,6500000,0,0,3680.0,23213.0,51775.781,138110.324,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5667.0,29588.0,6182.0,33533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,dfs-ioonly,18,128,6,6500000,6500000,0,0,6079.0,7015.0,25782.506,185648.566,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6251.0,7384.0,5665.0,18580.0,5398.0,39907.0,5496.0,47105.0,5830.0,39874.0,,,,,,,,,,,,,,,,,,,,,,
38,dfs-ioonly,17,64,12,6500000,6500000,0,0,,,18025.272999999997,143348.41499999998,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6481.0,7482.0,6196.0,7429.0,6341.0,7518.0,6411.0,7733.0,5872.0,9741.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,5903.0,9671.0,6070.0,9604.0,6085.0,13874.0,5828.0,15202.0,5586.0,15143.0,5976.0,14747.0
39,dfs-ioonly,20,32,12,6500000,6500000,0,0,,,1336.579,88784.156,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6416.0,7452.0,6141.0,7317.0,6378.0,7204.0,6256.0,7466.0,6382.0,7279.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6349.0,7372.0,6260.0,7382.0,6529.0,7321.0,6421.0,7227.0,6295.0,7280.0,6421.0,7239.0
40,dfs-ioonly,15,1024,1,3300000,3300000,0,0,3077.0,70688.0,3232.433,73920.129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,dfs-ioonly,16,512,1,6500000,6500000,0,0,5921.0,54670.0,19466.354,74135.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,dfs-ioonly,17,256,3,6500000,6500000,0,0,5551.0,19596.0,19441.485,187508.373,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5073.0,75190.0,4913.0,73281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,dfs-ioonly,19,128,6,6500000,6500000,0,0,5870.0,6993.0,18218.483,202985.83,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6406.0,7506.0,5574.0,38955.0,5589.0,46916.0,5783.0,38034.0,5410.0,46364.0,,,,,,,,,,,,,,,,,,,,,,
44,dfs-ioonly,18,256,3,6500000,6500000,0,0,4663.0,25953.0,47336.365,177189.18600000002,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,5787.0,34619.0,5724.0,69281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,dfs-ioonly,16,64,12,6500000,6500000,0,0,,,17631.986999999997,198020.49500000002,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6367.0,7541.0,6341.0,7288.0,6252.0,7275.0,6321.0,13083.0,6302.0,22404.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,5782.0,29956.0,6186.0,16190.000000000002,6102.0,18309.0,6217.0,15944.0,6030.0,18549.0,5949.0,16734.0
