,runtype,nranks,epcnt,run,total_io_time,load_std
12,dfs-ioonly,16,12,4,50,0
0,dfs-ioonly,16,12,5,48,0
14,dfs-ioonly,16,12,6,48,0
2,dfs-ioonly,32,12,4,48,0
18,dfs-ioonly,32,12,5,49,0
7,dfs-ioonly,32,12,6,50,0
16,dfs-ioonly,64,12,4,69,0
19,dfs-ioonly,64,12,5,70,0
4,dfs-ioonly,64,12,6,69,0
5,dfs-ioonly,128,12,4,136,0
9,dfs-ioonly,128,12,5,136,0
6,dfs-ioonly,128,12,6,151,0
10,dfs-ioonly,256,12,4,295,0
20,dfs-ioonly,256,12,5,291,0
3,dfs-ioonly,256,12,6,474,0
11,dfs-ioonly,512,12,4,628,0
8,dfs-ioonly,512,12,5,1024,0
17,dfs-ioonly,512,12,6,1079,0
1,dfs-ioonly,512,12,7,912,0
13,dfs-ioonly,512,12,8,961,0
15,dfs-ioonly,512,12,9,933,0
42,dfs-reg-suite,512,12,7,1001,0
43,dfs-reg-suite,512,12,8,969,0
44,dfs-reg-suite,512,12,9,1010,0
23,dfs-seq-suite,512,12,4,1051,0
22,dfs-seq-suite,512,12,5,1014,0
26,dfs-seq-suite,512,12,6,1029,0
21,dfs-seq-suite,512,12,7,1007,0
24,dfs-seq-suite,512,12,8,994,0
25,dfs-seq-suite,512,12,9,1039,0
32,network-suite-1hopsim-node2x,16,12,1,119,0
29,network-suite-1hopsim-node2x,16,12,2,102,0
41,network-suite-1hopsim-node2x,16,12,3,117,0
30,network-suite-1hopsim-node2x,32,12,1,119,0
35,network-suite-1hopsim-node2x,32,12,2,122,0
27,network-suite-1hopsim-node2x,32,12,3,122,0
34,network-suite-1hopsim-node2x,64,12,1,133,0
36,network-suite-1hopsim-node2x,64,12,2,128,0
39,network-suite-1hopsim-node2x,64,12,3,126,0
38,network-suite-1hopsim-node2x,128,12,1,143,0
28,network-suite-1hopsim-node2x,128,12,2,138,0
33,network-suite-1hopsim-node2x,128,12,3,140,0
31,network-suite-1hopsim-node2x,256,12,1,150,0
37,network-suite-1hopsim-node2x,256,12,2,167,0
40,network-suite-1hopsim-node2x,256,12,3,149,0
