,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
80,carp-suite-interepoch,1024,1,1,2048,1,57,0.32
81,carp-suite-interepoch,1024,1,1,2048,2,51,0.338
82,carp-suite-interepoch,1024,1,3,2048,1,51,0.341
83,carp-suite-interepoch,1024,1,3,2048,2,52,0.366
0,carp-suite-interepoch-nowrite,1024,1,1,2048,1,17,0.272
1,carp-suite-interepoch-nowrite,1024,1,1,2048,2,20,0.109
2,carp-suite-interepoch-nowrite,1024,1,3,2048,1,57,0.315
3,carp-suite-interepoch-nowrite,1024,1,3,2048,2,51,0.275
54,carp-suite-intraepoch,16,12,750000,2048,1,217,0.095
40,carp-suite-intraepoch,16,12,750000,2048,2,218,0.107
46,carp-suite-intraepoch,16,12,1000000,2048,1,205,0.048
48,carp-suite-intraepoch,16,12,1000000,2048,2,203,0.032
34,carp-suite-intraepoch,32,12,750000,2048,1,967,0.061
49,carp-suite-intraepoch,32,12,750000,2048,2,965,0.055
47,carp-suite-intraepoch,32,12,1000000,2048,1,956,0.043
37,carp-suite-intraepoch,32,12,1000000,2048,2,960,0.063
41,carp-suite-intraepoch,64,12,750000,2048,1,646,0.102
36,carp-suite-intraepoch,64,12,750000,2048,2,657,0.075
52,carp-suite-intraepoch,64,12,1000000,2048,1,643,0.035
43,carp-suite-intraepoch,64,12,1000000,2048,2,641,0.036
35,carp-suite-intraepoch,128,6,750000,2048,1,244,0.075
51,carp-suite-intraepoch,128,6,750000,2048,2,240,0.113
53,carp-suite-intraepoch,128,6,1000000,2048,1,228,0.04
33,carp-suite-intraepoch,128,6,1000000,2048,2,225,0.053
39,carp-suite-intraepoch,256,3,750000,2048,1,166,0.066
32,carp-suite-intraepoch,256,3,750000,2048,2,123,0.08
38,carp-suite-intraepoch,256,3,1000000,2048,1,122,0.047
57,carp-suite-intraepoch,256,3,1000000,2048,2,102,0.055
55,carp-suite-intraepoch,512,1,750000,2048,1,72,0.028
59,carp-suite-intraepoch,512,1,750000,2048,2,56,0.087
56,carp-suite-intraepoch,512,1,1000000,2048,1,58,0.494
45,carp-suite-intraepoch,512,1,1000000,2048,2,59,0.515
42,carp-suite-intraepoch,1024,1,750000,2048,1,44,0.065
44,carp-suite-intraepoch,1024,1,750000,2048,2,54,0.081
