,run,nranks,epcnt,intvl,pvtcnt,drop,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
33,2,512,9,1000000,2048,0,5800000,10800000,5900000.0,11300000.0,2500000.0,9100000.0,5400000.0,11300000.0,5900000.0,11100000.0,3100000.0,8100000.0,4400000,8600000,0.056,0,118250.0,118429.0,115712.0,116031.0,131833.0,132258.0,136007.0,136401.0,127607.0,127967.0,145255.0,145518.0,459.42,1206035.9849999999,5700000.0,9300000.0,5500000.0,11000000.0,4400000.0,8600000.0,,,,,,,144751.0,144946.0,140134.0,140437.0,143065.0,143590.0,,,,,,
34,3,512,9,1000000,2048,0,5400000,9400000,5500000.0,9000000.0,3300000.0,8400000.0,5400000.0,10900000.0,4500000.0,7800000.0,5500000.0,11000000.0,4200000,11000000,0.061,0,85396.0,86894.0,145830.0,147371.0,133967.0,134314.0,136387.0,136551.0,140162.0,140509.0,130613.0,131017.0,11320.214,1169439.751,2500000.0,7400000.0,4300000.0,10100000.0,4200000.0,11000000.0,,,,,,,130265.99999999999,130675.99999999999,127889.0,128243.0,122054.0,122544.0,,,,,,
35,3,512,3,750000,2048,0,5500000,9100000,4500000.0,9300000.0,5800000.0,9900000.0,,,,,,,5800000,9900000,0.043,0,81572.0,81760.0,129506.0,129729.99999999999,118560.0,118905.0,,,,,,,766.429,331161.415,,,,,,,,,,,,,,,,,,,,,,,,
36,2,512,12,750000,2048,0,4900000,10400000,6000000.0,12300000.0,5600000.0,8500000.0,4600000.0,12300000.0,3200000.0,7800000.0,3600000.0,9600000.0,4800000,10900000,0.077,0,88464.0,91197.0,131442.0,134355.0,154992.0,155468.0,152757.0,153113.0,144034.0,144244.0,189979.0,190247.0,2803.598,1871794.026,3900000.0,7900000.0,4600000.0,7800000.0,4700000.0,10100000.0,2900000.0,10500000.0,5200000.0,9100000.0,4800000.0,10900000.0,160737.0,161974.0,146469.0,147654.0,164511.0,165091.0,159972.0,160416.0,193682.0,194074.0,170763.0,171157.0
37,2,512,12,250000,2048,0,4900000,8600000,4300000.0,7800000.0,5600000.0,8700000.0,3400000.0,7200000.0,3900000.0,7600000.0,3800000.0,7300000.0,4000000,7200000,0.026,0,118758.0,119018.0,115426.0,115758.0,161331.0,161640.0,143763.0,144033.0,187248.0,187535.0,140257.0,140483.0,3510.228,1837499.158,3500000.0,8500000.0,4500000.0,8000000.0,3700000.0,7000000.0,3800000.0,7900000.0,4000000.0,6900000.0,4000000.0,7200000.0,133877.0,134294.0,191360.0,191764.0,154340.0,154598.0,164841.0,165083.0,176810.0,177069.0,142398.0,142712.0
38,2,512,12,500000,2048,0,4500000,9500000,3900000.0,9500000.0,3900000.0,9600000.0,4400000.0,8500000.0,3000000.0,8400000.0,3000000.0,7200000.0,3800000,9700000,0.04,0,84249.0,88399.0,147459.0,151803.0,199609.0,201786.0,187827.0,190069.0,164899.0,165560.0,166339.0,166635.0,1425.259,1950854.9230000002,3900000.0,8500000.0,2300000.0,10800000.0,3800000.0,8900000.0,3300000.0,7600000.0,4200000.0,10300000.0,3800000.0,9700000.0,164649.0,164884.0,158372.0,158630.0,198239.0,198457.0,166550.0,166768.0,140869.0,141052.0,155125.0,155387.0
39,2,512,12,1000000,2048,0,2900000,8100000,4099999.0,8400000.0,3900000.0,9000000.0,3100000.0,11700000.0,3300000.0,10800000.0,3600000.0,8600000.0,3400000,8800000,0.085,0,101881.0,102086.0,124981.0,125269.0,132087.0,132476.0,127693.0,128140.99999999999,151869.0,152404.0,146744.0,146959.0,8654.551,1699380.554,2900000.0,8500000.0,3200000.0,8000000.0,3200000.0,8700000.0,2900000.0,7100000.0,5900000.0,10000000.0,3400000.0,8800000.0,145025.0,145261.0,149644.0,149940.0,151071.0,151475.0,150923.0,151407.0,171308.0,171663.0,133343.0,133646.0
40,6,512,12,1000000,2048,0,5000000,8199999,5800000.0,9600000.0,5300000.0,11000000.0,4300000.0,10800000.0,3100000.0,7400000.0,2100000.0,7700000.0,4600000,10200000,0.073,0,94240.0,99298.0,126393.0,135507.0,126502.0,130875.0,128598.00000000001,128887.0,170836.0,171237.0,155716.0,156278.0,1851.596,1816226.283,1800000.0,8500000.0,5900000.0,10200000.0,2600000.0,8500000.0,5900000.0,13300000.0,1900000.0,8400000.0,4600000.0,10200000.0,161684.0,162089.0,169675.0,170004.0,179518.0,179882.0,169647.0,170033.0,156894.0,157232.0,152737.0,153053.0
41,2,512,6,1000000,2048,0,4099999,7200000,6000000.0,14700000.0,5500000.0,9800000.0,5900000.0,11100000.0,4200000.0,10200000.0,5800000.0,11300000.0,5800000,11300000,0.052,0,99814.0,100051.0,139593.0,139911.0,153589.0,153929.0,130439.0,130621.00000000001,131664.0,131945.0,137239.0,137602.0,1962.24,796021.679,,,,,,,,,,,,,,,,,,,,,,,,
42,3,512,1,1000000,2048,0,4200000,8000000,,,,,,,,,,,4200000,8000000,0.091,0,88455.0,90324.0,,,,,,,,,,,13274.388,103598.182,,,,,,,,,,,,,,,,,,,,,,,,
43,3,512,12,500000,2048,0,4099999,9900000,3500000.0,7700000.0,3600000.0,8700000.0,3600000.0,7900000.0,3300000.0,8199999.0,3600000.0,7900000.0,3700000,8000000,0.043,0,111411.0,111653.0,121270.0,121642.0,144619.0,145143.0,137130.0,137510.0,167520.0,167747.0,165269.0,165478.0,830.468,1814454.031,4000000.0,7700000.0,3100000.0,9800000.0,4200000.0,8100000.0,3400000.0,8500000.0,3200000.0,11300000.0,3700000.0,8000000.0,158260.0,158488.0,155433.0,155579.0,197924.0,198079.0,140138.0,140435.0,162785.0,163095.0,148504.0,148775.0
44,5,512,12,500000,2048,0,3500000,8500000,3800000.0,8000000.0,3800000.0,7400000.0,5200000.0,9100000.0,5000000.0,8600000.0,3700000.0,8600000.0,3800000,12100000,0.052,0,93793.0,95489.0,111208.0,113675.0,147177.0,148101.0,202992.0,203407.0,140058.0,140607.0,173351.0,173850.0,1583.069,1858784.09,3800000.0,11900000.0,4099999.0,8100000.0,3500000.0,6900000.0,3700000.0,7100000.0,3500000.0,8400000.0,3800000.0,12100000.0,144422.0,145017.0,175590.0,177401.0,174011.0,175904.0,142978.0,143235.0,167423.0,167775.0,172333.0,172738.0
45,1,512,1,750000,2048,0,5400000,8600000,,,,,,,,,,,5400000,8600000,0.036,0,77696.0,83149.0,,,,,,,,,,,35228.39599999999,118376.906,,,,,,,,,,,,,,,,,,,,,,,,
46,1,512,3,750000,2048,0,5900000,10900000,5300000.0,9600000.0,4600000.0,10500000.0,,,,,,,4600000,10500000,0.049,0,79975.0,83930.0,143587.0,151579.0,135625.0,139907.0,,,,,,,923.806,376340.496,,,,,,,,,,,,,,,,,,,,,,,,
47,3,512,9,750000,2048,0,5000000,10900000,3900000.0,8199999.0,4600000.0,7900000.0,2700000.0,11900000.0,3100000.0,10400000.0,5800000.0,12400000.0,5600000,12100000,0.069,0,86438.0,89603.0,164572.0,168531.0,152303.0,153302.0,151690.0,152100.0,154563.0,154829.0,141309.0,141579.0,755.451,1342178.6709999999,6100000.0,12900000.0,4099999.0,11700000.0,5600000.0,12100000.0,,,,,,,162587.0,162870.0,149696.0,149965.0,168309.0,168643.0,,,,,,
