,runtype,nranks,epcnt,run,total_io_time,load_std
18,dfs-ioonly,16,12,4,50,0
2,dfs-ioonly,16,12,5,48,0
21,dfs-ioonly,16,12,6,48,0
6,dfs-ioonly,32,12,4,48,0
30,dfs-ioonly,32,12,5,49,0
11,dfs-ioonly,32,12,6,50,0
24,dfs-ioonly,64,12,4,69,0
31,dfs-ioonly,64,12,5,70,0
8,dfs-ioonly,64,12,6,69,0
9,dfs-ioonly,128,12,4,136,0
13,dfs-ioonly,128,12,5,136,0
10,dfs-ioonly,128,12,6,151,0
27,dfs-ioonly,256,6,10,248,0
28,dfs-ioonly,256,6,11,167,0
0,dfs-ioonly,256,6,12,167,0
14,dfs-ioonly,256,12,4,295,0
32,dfs-ioonly,256,12,5,291,0
7,dfs-ioonly,256,12,6,474,0
29,dfs-ioonly,512,3,7,164,0
1,dfs-ioonly,512,3,8,211,0
26,dfs-ioonly,512,3,9,224,0
23,dfs-ioonly,512,3,10,226,0
15,dfs-ioonly,512,3,11,215,0
5,dfs-ioonly,512,3,12,220,0
19,dfs-ioonly,512,6,10,538,0
3,dfs-ioonly,512,6,11,527,0
16,dfs-ioonly,512,6,12,525,0
17,dfs-ioonly,512,12,4,628,0
12,dfs-ioonly,512,12,5,1024,0
25,dfs-ioonly,512,12,6,1079,0
4,dfs-ioonly,512,12,7,912,0
20,dfs-ioonly,512,12,8,961,0
22,dfs-ioonly,512,12,9,933,0
