,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
112,carp-suite-interepoch,512,12,1,512,4,1343,0.479
114,carp-suite-interepoch,512,12,1,512,5,1281,0.585
117,carp-suite-interepoch,512,12,1,1024,4,1324,0.577
110,carp-suite-interepoch,512,12,1,1024,5,1416,0.301
111,carp-suite-interepoch,512,12,1,2048,4,1392,0.463
116,carp-suite-interepoch,512,12,1,2048,5,1344,0.595
118,carp-suite-interepoch,512,12,3,512,5,1370,0.786
115,carp-suite-interepoch,512,12,3,1024,5,1363,0.526
113,carp-suite-interepoch,512,12,3,2048,5,1313,0.455
125,carp-suite-interepoch-nowrite,512,12,1,512,4,449,0.666
134,carp-suite-interepoch-nowrite,512,12,1,512,5,428,0.691
123,carp-suite-interepoch-nowrite,512,12,1,512,6,418,0.623
127,carp-suite-interepoch-nowrite,512,12,1,512,7,649,0.635
161,carp-suite-interepoch-nowrite,512,12,1,512,8,664,0.706
153,carp-suite-interepoch-nowrite,512,12,1,512,9,680,0.16
150,carp-suite-interepoch-nowrite,512,12,1,1024,4,429,0.595
122,carp-suite-interepoch-nowrite,512,12,1,1024,5,448,0.621
135,carp-suite-interepoch-nowrite,512,12,1,1024,6,420,0.209
160,carp-suite-interepoch-nowrite,512,12,1,1024,7,678,0.568
121,carp-suite-interepoch-nowrite,512,12,1,1024,8,642,0.64
141,carp-suite-interepoch-nowrite,512,12,1,1024,9,656,0.671
124,carp-suite-interepoch-nowrite,512,12,1,2048,4,411,0.595
142,carp-suite-interepoch-nowrite,512,12,1,2048,5,397,0.677
137,carp-suite-interepoch-nowrite,512,12,1,2048,6,437,0.33
156,carp-suite-interepoch-nowrite,512,12,1,2048,7,638,0.572
133,carp-suite-interepoch-nowrite,512,12,1,2048,8,650,0.626
130,carp-suite-interepoch-nowrite,512,12,1,2048,9,652,0.626
146,carp-suite-interepoch-nowrite,512,12,3,512,4,423,0.56
155,carp-suite-interepoch-nowrite,512,12,3,512,5,419,0.573
129,carp-suite-interepoch-nowrite,512,12,3,512,6,445,0.532
157,carp-suite-interepoch-nowrite,512,12,3,512,7,641,0.455
138,carp-suite-interepoch-nowrite,512,12,3,512,8,670,0.844
159,carp-suite-interepoch-nowrite,512,12,3,512,9,692,0.595
119,carp-suite-interepoch-nowrite,512,12,3,1024,4,378,0.424
136,carp-suite-interepoch-nowrite,512,12,3,1024,5,434,0.565
152,carp-suite-interepoch-nowrite,512,12,3,1024,6,383,0.57
