,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
0,carp-suite-interepoch-nowrite,11,128,6,1,2048,4200000,7500000,4600000.0,7400000.0,3900000.0,7200000.0,6200000.0,8500000.0,5100000.0,7700000.0,4700000.0,7600000.0,0.041,0,34792.0,34861.0,36211.0,36339.0,35259.0,35424.0,37174.0,37298.0,35752.0,35882.0,34655.0,34847.0,0.6980000000000001,214651.499
1,carp-suite-interepoch-nowrite,11,256,3,3,2048,5800000,8800000,5800000.0,8800000.0,5800000.0,8800000.0,,,,,,,0.052,0,28642.0,28805.0,31704.0,31887.0,31618.0,31728.0,,,,,,,54834.998,147255.516
2,carp-suite-interepoch-nowrite,1,1024,1,1,2048,188500,4099999,,,,,,,,,,,0.349,0,16481.0,16676.0,,,,,,,,,,,3.927,16680.382
3,carp-suite-interepoch-nowrite,11,512,1,3,2048,208200,10500000,,,,,,,,,,,0.506,0,54580.0,60663.0,,,,,,,,,,,13262.961000000001,73926.395
4,carp-suite-interepoch-nowrite,11,256,3,1,2048,6200000,9400000,6200000.0,9900000.0,5600000.0,8400000.0,,,,,,,0.044,0,29028.0,29153.0,31073.0,31191.0,28804.0,29025.0,,,,,,,0.866,89369.87999999999
5,carp-suite-interepoch-nowrite,1,256,3,1,2048,5900000,8600000,6200000.0,9600000.0,6200000.0,9300000.0,,,,,,,0.053,0,26998.0,27156.0,29377.0,29575.0,30048.0,30225.0,,,,,,,1.062,86957.85100000001
6,carp-suite-interepoch-nowrite,11,512,1,1,2048,221000,9700000,,,,,,,,,,,0.439,0,30858.0,31023.0,,,,,,,,,,,2.045,31024.679
7,carp-suite-interepoch-nowrite,1,1024,1,3,2048,152300,4400000,,,,,,,,,,,0.38,0,42892.0,51808.0,,,,,,,,,,,25103.911,76911.889
8,carp-suite-interepoch-nowrite,11,128,6,3,2048,4400000,7400000,4400000.0,7400000.0,4400000.0,7400000.0,4200000.0,7300000.0,4200000.0,7300000.0,4200000.0,7300000.0,0.042,0,36519.0,36645.0,38264.0,38435.0,37089.0,37222.0,35948.0,36071.0,36932.0,37049.0,37554.0,37662.0,45388.953,268472.68000000005
9,carp-suite-interepoch-nowrite,1,512,1,3,2048,212500,10800000,,,,,,,,,,,0.532,0,60722.0,60939.0,,,,,,,,,,,30389.894,91329.309
10,carp-suite-interepoch-nowrite,1,256,3,3,2048,6100000,9500000,6100000.0,9500000.0,6100000.0,9500000.0,,,,,,,0.058,0,31290.0,31484.0,33303.0,33458.0,31741.0,31881.0,,,,,,,32031.591,128854.68299999999
11,carp-suite-interepoch-nowrite,1,128,6,1,2048,6200000,8700000,4000000.0,7200000.0,5100000.0,7400000.0,1800000.0,11300000.0,4400000.0,7400000.0,5900000.0,8100000.0,0.04,0,36800.0,36917.0,36861.0,37002.0,36293.0,36407.0,34903.0,35004.0,38342.0,38472.0,35658.0,35815.0,0.6449999999999999,219618.542
12,carp-suite-interepoch-nowrite,1,128,6,3,2048,4200000,7100000,4200000.0,7100000.0,4200000.0,7100000.0,5200000.0,7800000.0,5200000.0,7800000.0,5200000.0,7800000.0,0.039,0,37232.0,37322.0,38966.0,39028.0,36336.0,36444.0,38760.0,38910.0,37322.0,37510.0,35945.0,36157.0,339.451,225710.568
13,carp-suite-interepoch-nowrite,1,512,1,1,2048,219500,10900000,,,,,,,,,,,0.546,0,31217.0,31410.0,,,,,,,,,,,1.9269999999999998,31411.537
14,carp-suite-intraepoch-nowrite,11,128,6,750000,1024,4400000,7300000,4400000.0,7300000.0,4400000.0,7300000.0,4400000.0,7300000.0,4400000.0,7300000.0,4400000.0,7300000.0,0.049,0,37636.0,37724.0,38598.0,38762.0,40987.0,41094.0,37179.0,37276.0,37686.0,37787.0,36407.0,36563.0,4486.914,233693.00999999998
15,carp-suite-intraepoch-nowrite,11,256,3,1000000,1024,6200000,9600000,6200000.0,9600000.0,6200000.0,9600000.0,,,,,,,0.059,0,31147.0,31289.0,33785.0,33919.0,31432.0,31587.0,,,,,,,36347.295000000006,133142.613
16,carp-suite-intraepoch-nowrite,11,512,1,750000,512,1700000,9300000,,,,,,,,,,,0.062,0,30933.0,31099.0,,,,,,,,,,,2.2070000000000003,31101.243
17,carp-suite-intraepoch-nowrite,1,128,6,750000,2048,3400000,7300000,3400000.0,7300000.0,3400000.0,7300000.0,3400000.0,7300000.0,3400000.0,7300000.0,3400000.0,7300000.0,0.062,0,36333.0,36430.0,38393.0,38529.0,37787.0,37899.0,36853.0,36915.0,36727.0,36820.0,37350.0,37517.0,338.068,224446.743
