,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
75,carp-suite-intraepoch-skipsort,128,6,750000,2048,1,238,0.04
89,carp-suite-intraepoch-skipsort,128,6,750000,2048,11,247,0.04
82,carp-suite-intraepoch-skipsort,128,6,1000000,512,1,223,0.036
111,carp-suite-intraepoch-skipsort,128,6,1000000,512,11,227,0.054
92,carp-suite-intraepoch-skipsort,128,6,1000000,1024,1,230,0.039
81,carp-suite-intraepoch-skipsort,128,6,1000000,1024,11,229,0.049
101,carp-suite-intraepoch-skipsort,128,6,1000000,2048,1,233,0.038
110,carp-suite-intraepoch-skipsort,128,6,1000000,2048,11,223,0.052
108,carp-suite-intraepoch-skipsort,256,3,750000,512,1,133,0.072
98,carp-suite-intraepoch-skipsort,256,3,750000,512,11,155,0.087
93,carp-suite-intraepoch-skipsort,256,3,750000,1024,1,129,0.078
87,carp-suite-intraepoch-skipsort,256,3,750000,1024,11,137,0.047
84,carp-suite-intraepoch-skipsort,256,3,750000,2048,1,119,0.047
76,carp-suite-intraepoch-skipsort,256,3,750000,2048,11,124,0.061
103,carp-suite-intraepoch-skipsort,256,3,1000000,512,1,120,0.048
113,carp-suite-intraepoch-skipsort,256,3,1000000,512,11,117,0.051
94,carp-suite-intraepoch-skipsort,256,3,1000000,1024,1,128,0.106
73,carp-suite-intraepoch-skipsort,256,3,1000000,1024,11,134,0.046
80,carp-suite-intraepoch-skipsort,256,3,1000000,2048,1,125,0.11
106,carp-suite-intraepoch-skipsort,256,3,1000000,2048,11,137,0.058
91,carp-suite-intraepoch-skipsort,512,1,750000,512,1,60,0.063
74,carp-suite-intraepoch-skipsort,512,1,750000,512,11,66,0.05
78,carp-suite-intraepoch-skipsort,512,1,750000,1024,1,62,0.463
99,carp-suite-intraepoch-skipsort,512,1,750000,1024,11,96,0.504
105,carp-suite-intraepoch-skipsort,512,1,750000,2048,1,90,0.501
112,carp-suite-intraepoch-skipsort,512,1,750000,2048,11,107,0.366
96,carp-suite-intraepoch-skipsort,512,1,1000000,512,1,88,0.683
90,carp-suite-intraepoch-skipsort,512,1,1000000,512,11,96,0.492
83,carp-suite-intraepoch-skipsort,512,1,1000000,1024,1,84,0.545
85,carp-suite-intraepoch-skipsort,512,1,1000000,1024,11,105,0.479
107,carp-suite-intraepoch-skipsort,512,1,1000000,2048,1,89,0.607
86,carp-suite-intraepoch-skipsort,512,1,1000000,2048,11,77,0.517
104,carp-suite-intraepoch-skipsort,1024,1,750000,512,1,76,0.06
102,carp-suite-intraepoch-skipsort,1024,1,750000,512,11,73,0.061
100,carp-suite-intraepoch-skipsort,1024,1,750000,1024,1,83,0.346
88,carp-suite-intraepoch-skipsort,1024,1,750000,2048,1,74,0.335
77,carp-suite-intraepoch-skipsort,1024,1,1000000,512,1,94,0.265
95,carp-suite-intraepoch-skipsort,1024,1,1000000,1024,1,74,0.303
114,carp-suite-intraepoch-skipsort,1024,1,1000000,2048,1,93,0.335
