,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,max_fin_dura,total_io_time
24,carp-suite-intraepoch-skipsort,11,128,6,1000000,1024,4300000,7200000,4300000.0,7200000.0,4300000.0,7200000.0,4300000.0,7200000.0,4300000.0,7200000.0,4300000.0,7200000.0,0.043,0,38023.0,38130.0,36136.0,36286.0,37100.0,37209.0,36442.0,36592.0,37171.0,37263.0,39293.0,39518.0,266.40500000000003,225265.549
25,carp-suite-intraepoch-skipsort,11,1024,1,1000000,512,187300,4300000,,,,,,,,,,,0.228,0,41480.0,42649.0,,,,,,,,,,,13167.952,55817.182
26,carp-suite-intraepoch-skipsort,11,128,6,1000000,2048,6200000,8700000,6200000.0,8700000.0,6200000.0,8700000.0,6200000.0,8700000.0,6200000.0,8700000.0,6200000.0,8700000.0,0.045,0,39323.0,39437.0,40625.0,40730.0,39221.0,39349.0,40015.0,40109.0,40364.0,40487.0,40402.0,40522.0,284.693,240919.14299999998
27,carp-suite-intraepoch-skipsort,11,1024,1,750000,1024,188000,4099999,,,,,,,,,,,0.3,0,45635.0,65369.0,,,,,,,,,,,25300.736,90670.12
28,carp-suite-intraepoch-skipsort,11,1024,1,750000,512,71900,4200000,,,,,,,,,,,0.098,0,76644.0,76868.0,,,,,,,,,,,12303.478000000001,89171.825
29,carp-suite-intraepoch-skipsort,11,512,1,750000,2048,280800,9800000,,,,,,,,,,,0.343,0,59127.0,72855.0,,,,,,,,,,,35382.503,108237.252
30,carp-suite-intraepoch-skipsort,11,256,3,1000000,512,6200000,10800000,6200000.0,10800000.0,6200000.0,10800000.0,,,,,,,0.066,0,32938.0,33080.0,33932.0,34038.0,36335.0,36487.0,,,,,,,45691.898,149297.35400000002
31,carp-suite-intraepoch-skipsort,11,256,3,1000000,1024,6200000,11000000,6200000.0,11000000.0,6200000.0,11000000.0,,,,,,,0.074,0,31066.0,31223.0,34017.0,34114.0,35260.0,35400.0,,,,,,,45008.608,145745.61299999998
32,carp-suite-intraepoch-skipsort,11,128,6,750000,1024,4900000,7400000,4900000.0,7400000.0,4900000.0,7400000.0,4900000.0,7400000.0,4900000.0,7400000.0,4900000.0,7400000.0,0.042,0,36470.0,36571.0,36858.0,37019.0,36778.0,36913.0,37128.0,37273.0,36610.0,36818.0,38874.0,39043.0,250.40800000000002,223886.96600000001
33,carp-suite-intraepoch-skipsort,11,256,3,750000,2048,5000000,8100000,5000000.0,8100000.0,5000000.0,8100000.0,,,,,,,0.043,0,28483.0,28634.0,33799.0,33943.0,33952.0,34135.0,,,,,,,25277.363,121989.605
