runtype,nranks,pvtcnt,epidx,load_std
ownpvt,512,2048,8,0.319287
ownpvt,512,2048,9,0.496459
ownpvt,512,2048,10,0.605261
ownpvt,512,2048,11,0.650823
initpvt,512,4096,0,0.300840
initpvt,512,4096,1,0.277422
initpvt,512,4096,2,0.527183
initpvt,512,4096,3,0.726427
initpvt,512,4096,4,1.332359
initpvt,512,4096,5,2.410061
initpvt,512,4096,6,3.180042
initpvt,512,4096,7,3.913920
initpvt,512,4096,8,4.871928
initpvt,512,4096,9,5.883080
initpvt,512,4096,10,6.340506
initpvt,512,4096,11,6.436574
ownpvt,512,4096,0,0.300840
ownpvt,512,4096,1,0.423114
ownpvt,512,4096,2,0.459557
ownpvt,512,4096,3,0.454274
ownpvt,512,4096,4,0.285969
ownpvt,512,4096,5,0.154594
ownpvt,512,4096,6,0.163612
ownpvt,512,4096,7,0.173415
ownpvt,512,4096,8,0.318963
ownpvt,512,4096,9,0.496054
ownpvt,512,4096,10,0.604747
ownpvt,512,4096,11,0.650400
ep0pp,512,16,0,0.374773
ep0pp,512,16,1,0.343051
ep0pp,512,16,2,0.438127
ep0pp,512,16,3,0.606306
ep0pp,512,16,4,0.940165
ep0pp,512,16,5,1.662027
ep0pp,512,16,6,2.181003
ep0pp,512,16,7,2.717420
ep0pp,512,16,8,3.420258
ep0pp,512,16,9,4.255965
ep0pp,512,16,10,4.590211
ep0pp,512,16,11,4.618123
epxsub1pp,512,16,1,0.343051
epxsub1pp,512,16,2,0.403334
epxsub1pp,512,16,3,0.419450
epxsub1pp,512,16,4,0.381672
epxsub1pp,512,16,5,0.327314
epxsub1pp,512,16,6,0.361537
epxsub1pp,512,16,7,0.363469
epxsub1pp,512,16,8,0.396121
epxsub1pp,512,16,9,0.353305
epxsub1pp,512,16,10,0.417108
epxsub1pp,512,16,11,0.470012
epxpp,512,16,0,0.374773
epxpp,512,16,1,0.360043
epxpp,512,16,2,0.415213
epxpp,512,16,3,0.466591
epxpp,512,16,4,0.333304
epxpp,512,16,5,0.359006
epxpp,512,16,6,0.357643
epxpp,512,16,7,0.360127
epxpp,512,16,8,0.347425
epxpp,512,16,9,0.388317
epxpp,512,16,10,0.453781
epxpp,512,16,11,0.481685
ep0pp,512,256,0,0.053879
ep0pp,512,256,1,0.176160
ep0pp,512,256,2,0.397000
ep0pp,512,256,3,0.622324
ep0pp,512,256,4,1.233923
ep0pp,512,256,5,2.283638
ep0pp,512,256,6,3.024891
ep0pp,512,256,7,3.724565
ep0pp,512,256,8,4.623689
ep0pp,512,256,9,5.562273
ep0pp,512,256,10,5.997679
ep0pp,512,256,11,6.090348
epxsub1pp,512,256,1,0.176160
epxsub1pp,512,256,2,0.322735
epxsub1pp,512,256,3,0.232849
epxsub1pp,512,256,4,0.197935
epxsub1pp,512,256,5,0.268050
epxsub1pp,512,256,6,0.163256
epxsub1pp,512,256,7,0.142381
epxsub1pp,512,256,8,0.161556
epxsub1pp,512,256,9,0.138929
epxsub1pp,512,256,10,0.135879
epxsub1pp,512,256,11,0.169170
epxpp,512,256,0,0.053879
epxpp,512,256,1,0.051528
epxpp,512,256,2,0.068092
epxpp,512,256,3,0.069687
epxpp,512,256,4,0.046048
epxpp,512,256,5,0.056047
epxpp,512,256,6,0.059956
epxpp,512,256,7,0.064924
epxpp,512,256,8,0.060699
epxpp,512,256,9,0.092162
epxpp,512,256,10,0.156440
epxpp,512,256,11,0.203589
ep0pp,512,1024,0,0.007595
ep0pp,512,1024,1,0.173897
ep0pp,512,1024,2,0.528075
ep0pp,512,1024,3,0.777296
ep0pp,512,1024,4,1.622148
ep0pp,512,1024,5,3.008128
ep0pp,512,1024,6,3.975528
ep0pp,512,1024,7,4.872904
ep0pp,512,1024,8,5.992328
ep0pp,512,1024,9,7.080868
ep0pp,512,1024,10,7.622865
ep0pp,512,1024,11,7.766296
epxsub1pp,512,1024,1,0.173897
epxsub1pp,512,1024,2,0.419413
epxsub1pp,512,1024,3,0.258649
epxsub1pp,512,1024,4,0.229778
epxsub1pp,512,1024,5,0.265684
epxsub1pp,512,1024,6,0.153173
epxsub1pp,512,1024,7,0.129791
epxsub1pp,512,1024,8,0.148891
epxsub1pp,512,1024,9,0.130426
epxsub1pp,512,1024,10,0.100920
ep0pp,512,8192,0,0.008298
ep0pp,512,8192,1,0.178969
ep0pp,512,8192,2,0.531379
ep0pp,512,8192,3,0.781219
ep0pp,512,8192,4,1.631920
ep0pp,512,8192,5,3.026251
ep0pp,512,8192,6,3.999375
ep0pp,512,8192,7,4.901493
ep0pp,512,8192,8,6.025903
ep0pp,512,8192,9,7.116867
ep0pp,512,8192,10,7.661708
ep0pp,512,8192,11,7.806443
epxsub1pp,512,8192,1,0.178969
epxsub1pp,512,8192,2,0.427294
epxsub1pp,512,8192,3,0.263172
epxsub1pp,512,8192,4,0.271110
epxsub1pp,512,8192,5,0.266517
epxsub1pp,512,8192,6,0.153471
epxsub1pp,512,8192,7,0.130834
epxsub1pp,512,8192,8,0.149711
epxsub1pp,512,8192,9,0.131154
epxsub1pp,512,8192,10,0.091488
epxsub1pp,512,8192,11,0.041218
epxpp,512,8192,0,0.008298
epxpp,512,8192,1,0.008467
epxpp,512,8192,2,0.012762
epxpp,512,8192,3,0.014544
epxpp,512,8192,4,0.007722
epxpp,512,8192,5,0.006789
epxpp,512,8192,6,0.006637
epxpp,512,8192,7,0.006801
epxpp,512,8192,8,0.005772
epxpp,512,8192,9,0.007920
epxpp,512,8192,10,0.014172
epxpp,512,8192,11,0.019445
ep0pp,512,128,0,0.090603
ep0pp,512,128,1,0.164423
ep0pp,512,128,2,0.342827
ep0pp,512,128,3,0.567805
ep0pp,512,128,4,1.076969
ep0pp,512,128,5,1.993613
ep0pp,512,128,6,2.641541
ep0pp,512,128,7,3.267880
ep0pp,512,128,8,4.073585
ep0pp,512,128,9,4.955720
ep0pp,512,128,10,5.345376
ep0pp,512,128,11,5.412040
epxsub1pp,512,128,1,0.164423
epxsub1pp,512,128,2,0.274230
epxsub1pp,512,128,3,0.207410
epxsub1pp,512,128,4,0.171298
epxsub1pp,512,128,5,0.274077
epxsub1pp,512,128,6,0.180395
epxsub1pp,512,128,7,0.164185
epxsub1pp,512,128,8,0.180751
epxsub1pp,512,128,9,0.155185
epxsub1pp,512,128,10,0.166354
epxsub1pp,512,128,11,0.215907
epxpp,512,128,0,0.090603
epxpp,512,128,1,0.084394
epxpp,512,128,2,0.101502
epxpp,512,128,3,0.115857
epxpp,512,128,4,0.075475
epxpp,512,128,5,0.090287
epxpp,512,128,6,0.097553
epxpp,512,128,7,0.099678
epxpp,512,128,8,0.096877
epxpp,512,128,9,0.127795
epxpp,512,128,10,0.202033
ep0pp,512,64,0,0.138576
ep0pp,512,64,1,0.144594
ep0pp,512,64,2,0.319821
ep0pp,512,64,3,0.542305
ep0pp,512,64,4,0.983535
ep0pp,512,64,5,1.814395
ep0pp,512,64,6,2.402247
ep0pp,512,64,7,2.985138
ep0pp,512,64,8,3.737629
ep0pp,512,64,9,4.593363
ep0pp,512,64,10,4.955787
ep0pp,512,64,11,5.003530
epxsub1pp,512,64,1,0.144594
epxsub1pp,512,64,2,0.258518
epxsub1pp,512,64,3,0.224819
epxsub1pp,512,64,4,0.153371
epxsub1pp,512,64,5,0.286153
epxsub1pp,512,64,6,0.208598
epxsub1pp,512,64,7,0.197205
epxsub1pp,512,64,8,0.218043
epxsub1pp,512,64,9,0.190041
epxsub1pp,512,64,10,0.213079
epxsub1pp,512,64,11,0.268854
epxpp,512,64,0,0.138576
epxpp,512,64,1,0.127194
epxpp,512,64,2,0.169403
epxpp,512,64,3,0.185925
epxpp,512,64,4,0.121202
epxpp,512,64,5,0.137666
epxpp,512,64,6,0.145680
epxpp,512,64,7,0.149944
epxpp,512,64,8,0.152000
epxpp,512,64,9,0.177425
epxpp,512,64,10,0.254861
epxpp,512,64,11,0.293725
ep0pp,512,512,0,0.025168
ep0pp,512,512,1,0.146504
ep0pp,512,512,2,0.503607
ep0pp,512,512,3,0.748273
ep0pp,512,512,4,1.549140
ep0pp,512,512,5,2.870910
ep0pp,512,512,6,3.794853
ep0pp,512,512,7,4.655899
ep0pp,512,512,8,5.737962
ep0pp,512,512,9,6.806582
ep0pp,512,512,10,7.328170
ep0pp,512,512,11,7.461885
epxsub1pp,512,512,1,0.146504
epxsub1pp,512,512,2,0.399489
epxsub1pp,512,512,3,0.253162
epxsub1pp,512,512,4,0.224610
epxsub1pp,512,512,5,0.265267
epxsub1pp,512,512,6,0.154703
epxsub1pp,512,512,7,0.132054
epxsub1pp,512,512,8,0.152116
epxsub1pp,512,512,9,0.131296
epxsub1pp,512,512,10,0.114133
epxsub1pp,512,512,11,0.138305
epxpp,512,512,0,0.025168
epxpp,512,512,1,0.026957
epxpp,512,512,2,0.042396
epxpp,512,512,3,0.042897
epxpp,512,512,4,0.024388
epxpp,512,512,5,0.030277
epxpp,512,512,6,0.034017
epxpp,512,512,7,0.040821
epxpp,512,512,8,0.036093
epxpp,512,512,9,0.061951
epxpp,512,512,10,0.126348
epxpp,512,512,11,0.162287
ep0pp,512,2048,0,0.007868
ep0pp,512,2048,1,0.177945
ep0pp,512,2048,2,0.530714
ep0pp,512,2048,3,0.780431
ep0pp,512,2048,4,1.629968
ep0pp,512,2048,5,3.022639
ep0pp,512,2048,6,3.994620
ep0pp,512,2048,7,4.895799
ep0pp,512,2048,8,6.019227
ep0pp,512,2048,9,7.109694
ep0pp,512,2048,10,7.653976
ep0pp,512,2048,11,7.798453
