hg_proto,hg_poll,hg_byploc,nranks,rounds,rwarmup,npivots,mean,std,min,max
bmi+tcp,0,0,16,1,1,1024,35970.0,0.0,35970,35970
bmi+tcp,0,0,16,1,1,2048,58688.0,0.0,58688,58688
bmi+tcp,0,0,16,1,1,4096,93494.0,0.0,93494,93494
bmi+tcp,0,0,16,1,1,8192,143492.0,0.0,143492,143492
bmi+tcp,0,0,32,1,1,256,39333.0,0.0,39333,39333
bmi+tcp,0,0,32,1,1,512,25472.0,0.0,25472,25472
bmi+tcp,0,0,32,1,1,1024,46994.0,0.0,46994,46994
bmi+tcp,0,0,32,1,1,2048,67608.0,0.0,67608,67608
bmi+tcp,0,0,32,1,1,4096,109151.0,0.0,109151,109151
bmi+tcp,0,0,32,1,1,8192,201994.0,0.0,201994,201994
bmi+tcp,0,0,64,1,1,256,18793.0,0.0,18793,18793
bmi+tcp,0,0,64,1,1,512,33280.0,0.0,33280,33280
bmi+tcp,0,0,64,1,1,1024,53518.0,0.0,53518,53518
bmi+tcp,0,0,64,1,1,2048,69463.0,0.0,69463,69463
bmi+tcp,0,0,64,1,1,4096,125599.0,0.0,125599,125599
bmi+tcp,0,0,64,1,1,8192,186461.0,0.0,186461,186461
bmi+tcp,0,0,128,1,1,256,42695.0,0.0,42695,42695
bmi+tcp,0,0,128,1,1,512,61910.0,0.0,61910,61910
bmi+tcp,0,0,128,1,1,1024,53162.0,0.0,53162,53162
bmi+tcp,0,0,128,1,1,2048,90683.0,0.0,90683,90683
bmi+tcp,0,0,128,1,1,4096,172578.0,0.0,172578,172578
bmi+tcp,0,0,128,1,1,8192,257696.0,0.0,257696,257696
bmi+tcp,0,0,256,1,1,256,50827.0,0.0,50827,50827
bmi+tcp,0,0,256,1,1,512,46307.0,0.0,46307,46307
bmi+tcp,0,0,256,1,1,1024,47542.0,0.0,47542,47542
bmi+tcp,0,0,256,1,1,2048,130282.0,0.0,130282,130282
bmi+tcp,0,0,256,1,1,4096,184794.0,0.0,184794,184794
bmi+tcp,0,0,256,1,1,8192,331530.0,0.0,331530,331530
bmi+tcp,0,0,512,1,1,256,59844.0,0.0,59844,59844
bmi+tcp,0,0,512,1,1,512,62709.0,0.0,62709,62709
bmi+tcp,0,0,512,1,1,1024,82330.0,0.0,82330,82330
bmi+tcp,0,0,512,1,1,2048,134680.0,0.0,134680,134680
bmi+tcp,0,0,512,1,1,4096,212968.0,0.0,212968,212968
bmi+tcp,0,0,512,1,1,8192,405707.0,0.0,405707,405707
bmi+tcp,0,0,1024,1,1,256,64281.0,0.0,64281,64281
bmi+tcp,0,0,1024,1,1,512,82665.0,0.0,82665,82665
bmi+tcp,0,0,1024,1,1,1024,88823.0,0.0,88823,88823
bmi+tcp,0,0,1024,1,1,2048,196873.0,0.0,196873,196873
bmi+tcp,0,0,1024,1,1,4096,309256.0,0.0,309256,309256
bmi+tcp,0,0,1024,1,1,8192,496453.0,0.0,496453,496453
bmi+tcp,0,0,2048,1,1,256,98050.0,0.0,98050,98050
bmi+tcp,0,0,2048,1,1,512,112464.0,0.0,112464,112464
bmi+tcp,0,0,2048,1,1,1024,151043.0,0.0,151043,151043
bmi+tcp,0,0,2048,1,1,2048,230934.0,0.0,230934,230934
bmi+tcp,0,0,2048,1,1,4096,314191.0,0.0,314191,314191
bmi+tcp,0,0,2048,1,1,8192,569343.0,0.0,569343,569343
bmi+tcp,0,0,16,10,5,256,24559.0,4344.9,12995,29480
bmi+tcp,0,0,16,10,5,512,23057.0,5519.9,17671,36803
bmi+tcp,0,0,16,10,5,1024,33266.0,6548.6,22633,42282
bmi+tcp,0,0,16,10,5,2048,47026.0,7023.6,32932,60117
bmi+tcp,0,0,16,10,5,4096,86410.0,11945.3,70249,113781
bmi+tcp,0,0,16,10,5,8192,140581.0,15082.6,125550,172728
bmi+tcp,0,0,32,10,5,256,22535.0,6488.3,15120,36514
bmi+tcp,0,0,32,10,5,512,33095.0,4299.7,27906,39080
bmi+tcp,0,0,32,10,5,1024,46591.0,30864.5,31868,138535
bmi+tcp,0,0,32,10,5,2048,59892.0,9702.3,41125,75801
bmi+tcp,0,0,32,10,5,4096,98598.0,15275.4,77696,136904
bmi+tcp,0,0,32,10,5,8192,172498.0,13729.9,146490,191604
bmi+tcp,0,0,64,10,5,256,23331.0,1657.8,20657,26224
bmi+tcp,0,0,64,10,5,512,35235.0,7881.4,21057,51701
bmi+tcp,0,0,64,10,5,1024,41002.0,4086.6,35691,48620
bmi+tcp,0,0,64,10,5,2048,55835.0,8354.4,44692,74753
bmi+tcp,0,0,64,10,5,4096,119951.0,14132.6,104069,149330
bmi+tcp,0,0,64,10,5,8192,208512.0,16990.8,178718,235595
bmi+tcp,0,0,128,10,5,256,34697.0,8319.3,24363,45653
bmi+tcp,0,0,128,10,5,512,37676.0,5864.8,31076,51055
bmi+tcp,0,0,128,10,5,1024,51059.0,6887.9,40125,59940
bmi+tcp,0,0,128,10,5,2048,82587.0,8437.8,72791,99694
bmi+tcp,0,0,128,10,5,4096,160131.0,11213.6,140041,177755
bmi+tcp,0,0,128,10,5,8192,265168.0,16987.3,235879,293693
bmi+tcp,0,0,256,10,5,256,38934.0,2356.6,35495,43033
bmi+tcp,0,0,256,10,5,512,48735.0,5957.4,41879,60016
bmi+tcp,0,0,256,10,5,1024,66338.0,7964.0,55662,79466
bmi+tcp,0,0,256,10,5,2048,94642.0,7972.7,78700,104749
bmi+tcp,0,0,256,10,5,4096,168856.0,13436.2,148534,196018
bmi+tcp,0,0,256,10,5,8192,332404.0,28281.4,285997,377190
bmi+tcp,0,0,512,10,5,256,51419.0,4166.5,45764,61120
bmi+tcp,0,0,512,10,5,512,56020.0,8415.8,44471,76435
bmi+tcp,0,0,512,10,5,1024,72977.0,11481.0,61826,104002
bmi+tcp,0,0,512,10,5,2048,123018.0,12214.0,111476,150650
