,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,max_fin_dura,total_io_time,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
11,carp-suite-intraepoch-nowrite,2,512,1,1000000,2048,5300000,10900000,,,,,0.056,0,30149.0,30333.0,,,,,2.225,30335.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,carp-suite-intraepoch-nowrite,1,16,12,1000000,2048,5000000,8700000,4800000.0,8600000.0,5000000.0,8600000.0,0.102,0,14627.0,14654.0,18454.0,18487.0,17922.0,17942.0,0.599,210640.586,5300000.0,8300000.0,5000000.0,8700000.0,5600000.0,8000000.0,17577.0,17590.0,18222.0,18235.0,17422.0,17436.0,5600000.0,8100000.0,5000000.0,8600000.0,5800000.0,7800000.0,5000000.0,8600000.0,5000000.0,8700000.0,5000000.0,8700000.0,17177.0,17195.0,17559.0,17567.0,17662.0,17667.0,17829.0,17833.0,17896.0,17914.0,18075.0,18119.0
13,carp-suite-intraepoch-nowrite,1,32,12,1000000,2048,6100000,7800000,6200000.0,8600000.0,6300000.0,7800000.0,0.059,0,74289.0,74328.0,76348.0,76409.0,75857.0,75922.0,0.703,912309.5009999999,6000000.0,8100000.0,6300000.0,8400000.0,6200000.0,8199999.0,74594.0,74610.0,75523.0,75554.0,77604.0,77664.0,6100000.0,7800000.0,6000000.0,8100000.0,6200000.0,8100000.0,6100000.0,8000000.0,6200000.0,8600000.0,6200000.0,8300000.0,75885.0,75933.0,76191.0,76210.0,76558.0,76581.0,75753.0,75788.0,76472.0,76504.0,76748.0,76803.0
14,carp-suite-intraepoch-nowrite,2,16,12,1000000,2048,5100000,8700000,5200000.0,8400000.0,5500000.0,8100000.0,0.042,0,15656.0,15664.0,18623.0,18650.0,17553.0,17573.0,0.53,210625.437,5100000.0,8500000.0,5100000.0,8400000.0,5100000.0,8600000.0,17738.0,17756.0,17807.0,17824.0,17983.0,17995.0,5100000.0,8500000.0,5900000.0,8300000.0,5100000.0,8600000.0,5500000.0,8100000.0,5200000.0,8500000.0,6000000.0,7500000.0,17764.0,17789.0,17601.0,17630.0,17657.0,17674.0,17208.0,17236.0,17445.0,17467.0,17338.0,17367.0
15,carp-suite-intraepoch-nowrite,2,32,12,750000,2048,6300000,7900000,6200000.0,8000000.0,6300000.0,8500000.0,0.055,0,74425.0,74488.0,75392.0,75445.0,75838.0,75875.0,0.69,917029.759,6300000.0,7900000.0,6200000.0,7700000.0,6300000.0,7900000.0,78616.0,78639.0,75614.0,75663.0,75737.0,75778.0,6300000.0,7700000.0,6300000.0,8400000.0,6300000.0,8300000.0,6300000.0,8199999.0,6200000.0,8000000.0,6200000.0,7900000.0,77595.0,77652.0,78204.0,78261.0,75784.0,75826.0,75831.0,75890.0,77071.0,77082.0,76350.0,76430.0
16,carp-suite-intraepoch-nowrite,2,128,6,750000,2048,5100000,9600000,4099999.0,14000000.0,6300000.0,11800000.0,0.105,0,33967.0,34071.0,40732.0,40898.0,37206.0,37293.0,1.313,228363.412,5700000.0,14000000.0,4200000.0,10300000.0,4400000.0,13500000.0,39355.0,39503.0,35111.0,35284.0,41137.0,41313.0,,,,,,,,,,,,,,,,,,,,,,,,
17,carp-suite-intraepoch-nowrite,1,64,12,1000000,2048,6000000,10100000,3900000.0,10500000.0,5700000.0,9400000.0,0.069,0,51406.0,51449.0,53847.0,53920.0,51497.0,51623.0,0.683,623401.25,5000000.0,11000000.0,6300000.0,9800000.0,3800000.0,10100000.0,53203.0,53330.0,51103.0,51275.0,52186.0,52286.0,5800000.0,8500000.0,4600000.0,11300000.0,5900000.0,11400000.0,5000000.0,9300000.0,4800000.0,11000000.0,5900000.0,9100000.0,50362.0,50485.0,52263.0,52398.0,51405.0,51562.0,50351.0,50477.0,52475.0,52611.0,51871.0,51985.0
18,carp-suite-intraepoch-nowrite,1,128,6,1000000,2048,5600000,10400000,3700000.0,12100000.0,4200000.0,12900000.0,0.083,0,36534.0,36648.0,38358.0,38479.0,39012.0,39193.0,0.687,232009.567,6000000.0,10200000.0,5700000.0,11000000.0,5900000.0,10800000.0,37224.0,37310.0,39924.0,40043.0,40197.0,40337.0,,,,,,,,,,,,,,,,,,,,,,,,
19,carp-suite-intraepoch-nowrite,1,16,12,750000,2048,5200000,8500000,5300000.0,8600000.0,5400000.0,8500000.0,0.09,0,15092.0,15105.0,17642.0,17659.0,17728.0,17743.0,2.013,207633.965,5300000.0,8700000.0,6300000.0,7300000.0,5600000.0,8199999.0,17498.0,17509.0,17477.0,17492.0,17447.0,17465.0,5800000.0,8000000.0,5700000.0,8199999.0,5600000.0,8400000.0,5100000.0,8700000.0,5300000.0,8500000.0,5300000.0,8500000.0,17771.0,17795.0,17340.0,17358.0,17122.0,17142.0,17625.0,17635.0,17462.0,17474.0,17224.0,17255.0
20,carp-suite-intraepoch-nowrite,1,512,1,750000,2048,5900000,13400000,,,,,0.057,0,31854.0,32029.000000000004,,,,,2.278,32031.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,carp-suite-intraepoch-nowrite,1,512,1,1000000,2048,2500000,11900000,,,,,0.122,0,32537.999999999996,32715.000000000004,,,,,2.3089999999999997,32717.691000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,carp-suite-intraepoch-nowrite,2,256,3,1000000,2048,4600000,9700000,5800000.0,13300000.0,3100000.0,13800000.0,0.289,0,28358.0,28514.0,35805.0,35932.0,36037.0,36263.0,1.377,100711.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,carp-suite-intraepoch-nowrite,2,512,1,750000,2048,6000000,13900000,,,,,0.055,0,34959.0,35111.0,,,,,2.3240000000000003,35113.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,carp-suite-intraepoch,2,256,3,750000,2048,6100000,10700000,4400000.0,12600000.0,5900000.0,11500000.0,0.08,0,34550.0,34705.0,35799.0,36038.0,51601.0,51750.0,1128.7160000000001,123621.19900000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,carp-suite-intraepoch,2,128,6,1000000,2048,3900000,7600000,3900000.0,7600000.0,3900000.0,7600000.0,0.053,0,37164.0,37277.0,38555.0,38725.0,35643.0,35729.0,2845.71,225453.202,3900000.0,7600000.0,3900000.0,7600000.0,3900000.0,7600000.0,36194.0,36326.0,37101.0,37277.0,37152.0,37274.0,,,,,,,,,,,,,,,,,,,,,,,,
26,carp-suite-intraepoch,1,32,12,750000,2048,6300000,8000000,6300000.0,8199999.0,6200000.0,7800000.0,0.061,0,81435.0,81466.0,78005.0,78073.0,80926.0,80950.0,96.219,967599.4180000001,6200000.0,7900000.0,6300000.0,8000000.0,6200000.0,7700000.0,79485.0,79581.0,78318.0,78390.0,80463.0,80480.0,6200000.0,8500000.0,6200000.0,8100000.0,6200000.0,8600000.0,6200000.0,8000000.0,6300000.0,8400000.0,6200000.0,8199999.0,81239.0,81252.0,79901.0,79948.0,80837.0,80865.0,82441.0,82495.0,83799.0,83863.0,80070.0,80140.0
27,carp-suite-intraepoch,1,128,6,750000,2048,6000000,11100000,5100000.0,10400000.0,6100000.0,11400000.0,0.075,0,40112.0,40250.0,39786.0,40029.0,40178.0,40336.0,233.011,244754.859,4400000.0,11000000.0,4400000.0,14200000.0,4400000.0,11300000.0,39944.0,40079.0,43422.0,43546.0,40132.0,40282.0,,,,,,,,,,,,,,,,,,,,,,,,
