,runtype,run,nranks,epcnt,intvl,pvtcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch12_wr_min,epoch12_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
0,carp-suite,3,32,12,750000,1024,6300000,8000000,6200000,8100000,6200000,8000000,6300000,8100000,6200000,8100000,6100000,8199999,6200000,8400000,6300000,8199999,6200000,7700000,6200000,7900000,6200000,7900000,6200000,8500000,0.064,0,76801.0,76826.0,77605.0,77644.0,78866.0,78889.0,80657.0,80698.0,78650.0,78683.0,79124.0,79175.0,79029.0,79079.0,78137.0,78219.0,78574.0,78758.0,77727.0,77804.0,77936.0,77956.0,82846.0,82910.0,120.021,946762.53
1,carp-suite,3,16,12,1000000,2048,4800000,8700000,5400000,8100000,5100000,8400000,4700000,8700000,5300000,8300000,5000000,8600000,6100000,7200000,5300000,8300000,6100000,8100000,5100000,8500000,5100000,8500000,5200000,8400000,0.088,0,14222.0,14231.0,17727.0,17732.0,17659.0,17678.0,18292.0,18301.0,17565.0,17578.0,17984.0,18004.0,17543.0,17573.0,17682.0,17713.0,17745.0,17767.0,17853.0,17866.0,18080.0,18095.0,17739.0,17793.0,93.063,210424.827
2,carp-suite,2,32,12,1000000,1024,6200000,7700000,6200000,7000000,6300000,8000000,6200000,7700000,6100000,8100000,6100000,7600000,6200000,8600000,6200000,8100000,6300000,7500000,6200000,8300000,6200000,8199999,6200000,7900000,0.045,0,75836.0,75872.0,79532.0,79543.0,80333.0,80362.0,79220.0,79253.0,79056.0,79087.0,80974.0,81008.0,79292.0,79332.0,79582.0,79630.0,79279.0,79332.0,81914.0,81943.0,82479.0,82512.0,79350.0,79408.0,160.411,957443.003
3,carp-suite,3,128,12,1000000,2048,3800000,10600000,4700000,9500000,3900000,13600000,6000000,9700000,4600000,9900000,5600000,9500000,4400000,10500000,3900000,12500000,5800000,9100000,5900000,9000000,5800000,11500000,5300000,11900000,0.083,0,37239.0,37361.0,38313.0,38492.0,40828.0,40982.0,38419.0,38538.0,38968.0,39132.0,39183.0,39283.0,40704.0,40913.0,42927.0,43089.0,40900.0,41091.0,38562.0,38757.0,40150.0,40339.0,41032.0,41195.0,227.69,479399.59599999996
4,carp-suite,1,512,12,1000000,1024,4099999,8100000,2000000,9600000,5500000,11300000,4099999,9400000,4900000,7900000,5900000,14600000,5300000,10800000,4600000,10300000,4500000,9500000,4800000,10300000,5400000,10700000,5700000,10000000,0.043,0,50867.0,51062.0,90725.0,93613.0,112512.0,115374.0,105360.0,111159.0,95714.0,107176.0,105778.0,111630.0,115606.0,127054.0,101695.0,113121.0,119652.0,119995.0,107483.0,107736.0,108098.0,117535.0,108001.0,123299.0,8753.916000000001,1307508.02
5,carp-suite,1,32,12,1000000,1024,6300000,8000000,6200000,7800000,6100000,7800000,6100000,7800000,6200000,8100000,6200000,7500000,6200000,8100000,6100000,8100000,6200000,7800000,6200000,7700000,6100000,8100000,6200000,7700000,0.041,0,78643.0,78698.0,81706.0,81755.0,79547.0,79575.0,80248.0,80263.0,82868.0,82881.0,80229.0,80254.0,80471.0,80507.0,82041.0,82084.0,81364.0,81429.0,79389.0,79456.0,78101.0,78120.0,80258.0,80394.0,82.282,965498.976
6,carp-suite,2,512,12,1000000,1024,3500000,7900000,5600000,12100000,3700000,8400000,4300000,8900000,5200000,10800000,5000000,10000000,4900000,10300000,5600000,10300000,2400000,11100000,5400000,10300000,5200000,10800000,5700000,10400000,0.056,0,67138.0,67270.0,86675.0,86903.0,96168.0,102593.0,85553.0,96054.0,118608.0,127694.0,108599.0,119499.0,99889.0,108044.0,106485.0,114850.0,106291.0,113947.0,105977.0,115467.0,99126.0,110422.0,106963.0,116604.0,21174.045,1300522.632
7,carp-suite,2,16,12,750000,1024,5100000,8600000,5100000,8600000,6300000,7700000,5700000,8199999,5500000,8400000,6200000,7600000,6100000,7800000,5000000,8700000,5700000,8400000,6300000,8000000,5300000,8700000,5500000,8400000,0.08,0,14465.0,14481.0,18279.0,18311.0,17285.0,17306.0,17603.0,17623.0,17271.0,17298.0,17727.0,17749.0,17962.0,17988.0,17954.0,17985.0,18034.0,18062.0,17424.0,17443.0,17637.0,17653.0,17811.0,17857.0,75.75999999999999,209832.00400000002
8,carp-suite,3,64,12,750000,1024,6100000,9100000,4800000,9200000,5200000,8400000,5000000,11600000,6300000,8500000,4400000,9900000,6200000,8199999,5000000,10300000,6100000,9300000,6200000,9300000,4500000,8700000,6100000,9300000,0.065,0,54824.0,54905.0,53376.0,53498.0,53810.0,53871.0,54567.0,54659.0,54075.0,54181.0,53562.0,53643.0,53052.0,53188.0,53625.0,53738.0,54525.0,54625.0,54288.0,54357.0,52725.0,52822.0,53597.0,53756.0,224.957,647468.512
9,carp-suite,1,64,12,750000,1024,5200000,10900000,6300000,8500000,5000000,9700000,4000000,11600000,6300000,9700000,4500000,11900000,5300000,11500000,6000000,9700000,6200000,9000000,5500000,11800000,6300000,10300000,6300000,8600000,0.052,0,54394.0,54502.0,80974.0,81145.0,54938.0,55079.0,54484.0,54640.0,53573.0,53686.0,55816.0,55916.0,55692.0,55814.0,55438.0,55539.0,55695.0,55766.0,53882.0,53984.0,54826.0,54996.0,54675.0,54835.0,302.853,686204.0950000001
10,carp-suite,1,32,12,750000,2048,6300000,8000000,6300000,8000000,6300000,8400000,6300000,8000000,6200000,8000000,6300000,7700000,6200000,8600000,6300000,7800000,6200000,8000000,6200000,8000000,6200000,8100000,6300000,7800000,0.048,0,83141.0,83180.0,79933.0,79960.0,80026.0,80056.0,79553.0,79601.0,79668.0,79715.0,80706.0,80743.0,80248.0,80298.0,80116.0,80199.0,78602.0,78679.0,79751.0,79836.0,79798.0,79881.0,80367.0,80447.0,84.65100000000001,962678.726
11,carp-suite,3,64,12,750000,2048,4200000,9600000,4600000,9600000,4200000,11800000,4800000,10800000,6200000,10100000,6200000,10300000,5800000,11600000,4800000,12100000,5100000,9800000,5600000,9500000,6200000,10100000,4800000,9400000,0.067,0,51653.0,51704.0,53760.0,53850.0,55524.0,55604.0,53624.0,53766.0,56050.0,56178.0,52775.0,52853.0,55137.0,55237.0,57399.0,57501.0,54688.0,54816.0,53738.0,53845.0,54332.0,54417.0,52150.0,52273.0,202.79,652248.7949999999
12,carp-suite,3,256,12,750000,1024,6100000,12300000,6100000,11400000,5900000,12200000,6200000,12100000,5900000,12500000,6000000,11300000,6000000,12800000,6200000,11900000,6000000,11500000,5800000,11700000,6100000,12700000,6100000,11500000,0.069,0,37349.0,37519.0,36336.0,36503.0,38591.0,38726.0,38501.0,38648.0,38821.0,38980.0,39040.0,39204.0,42218.0,42396.0,40877.0,41000.0,39069.0,39233.0,42710.0,42856.0,41666.0,41815.0,40277.0,40543.0,399.73900000000003,477822.41900000005
13,carp-suite,3,256,12,1000000,2048,6100000,11600000,5800000,10700000,5800000,11200000,6100000,10300000,5900000,10700000,6200000,10700000,6200000,10900000,6100000,11500000,5400000,9800000,5800000,10600000,5700000,10900000,6200000,10500000,0.056,0,32804.0,32931.0,35113.0,35320.0,33042.0,33269.0,53087.0,53298.0,47194.0,47432.0,48795.0,48956.0,56160.0,56343.0,54993.0,55120.0,54233.0,54415.0,53826.0,54002.0,64855.99999999999,65325.0,65498.99999999999,65975.0,107790.52500000001,710177.835
14,carp-suite,1,128,12,750000,1024,6000000,10100000,4400000,13400000,4900000,10200000,5000000,14500000,4200000,13300000,3900000,13000000,6200000,11000000,4700000,13500000,6000000,9500000,4700000,12800000,5300000,12700000,4900000,12500000,0.089,0,38434.0,38607.0,40099.0,40278.0,36841.0,36959.0,42099.0,42267.0,40684.0,40778.0,39759.0,39942.0,39288.0,39449.0,39816.0,39914.0,39868.0,40006.0,42446.0,42549.0,40179.0,40313.0,40434.0,40639.0,353.46,482054.372
15,carp-suite,2,64,12,1000000,1024,6300000,9500000,6200000,10000000,3900000,10300000,3700000,10400000,3800000,10100000,4500000,10700000,6000000,9800000,3900000,10100000,3700000,10400000,3800000,10200000,4099999,10200000,4500000,11800000,0.111,0,52467.0,52533.0,55181.0,55290.0,51973.0,52220.0,52916.0,53145.0,53078.0,53174.0,53911.0,54014.0,53310.0,53353.0,53049.0,53206.0,51543.0,51647.0,51869.0,52006.0,51925.0,52019.0,54731.0,54914.0,170.691,637693.02
