,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,load_std,wr_dropped,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time,epoch3_tmin,epoch3_tmax,epoch11_wr_min,epoch11_wr_max,epoch2_tmin,epoch2_tmax,epoch12_wr_min,epoch12_wr_max,epoch1_tmin,epoch1_tmax
15,network-suite-psm,1,512,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,28351.0,29472.0,28339.0,29744.0,28454.0,29604.0,28560.0,29645.0,28337.0,29452.0,28100.0,29380.0,28377.0,29831.0,28525.0,29848.0,28111.0,29380.0,2.913,353355.295,,,,,,,,,,
16,network-suite-psm,1,256,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,28158.0,29755.0,28136.0,29798.0,28015.0,29876.0,28036.0,36480.0,28139.0,29868.0,28120.0,30163.0,28223.0,30284.0,27997.0,30402.0,28071.0,29650.0,0.816,365634.375,,,,,,,,,,
17,network-suite-psm,1,128,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,42449.0,49352.0,42018.0,49692.0,40632.0,47784.0,41896.0,48837.0,40862.0,48068.0,41341.0,48030.0,40871.0,49148.0,42246.0,48052.0,41360.0,48536.0,2.827,579291.419,,,,,,,,,,
18,network-suite,3,256,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,19483.0,22668.0,18976.0,23117.0,20422.0,23743.0,20543.0,22633.0,20297.0,22813.0,20532.0,23554.0,19184.0,23670.0,20302.0,24271.0,19888.0,23200.0,2.4699999999999998,280331.306,,,,,,,,,,
19,network-suite,3,512,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,19866.0,24355.0,21016.0,26204.0,21799.0,25307.0,21260.0,24698.0,19043.0,24692.0,20731.0,25177.0,20721.0,25636.0,20715.0,24362.0,21052.0,24942.0,2.3770000000000002,300746.32,,,,,,,,,,
20,network-suite,3,128,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,27893.0,31576.0,28764.0,31230.0,29599.0,33267.0,29226.0,31228.0,28642.0,32305.999999999996,28970.0,32003.999999999996,27292.0,33459.0,29753.0,32775.0,28398.0,32689.0,2.265,389412.643,,,,,,,,,,
21,network-suite,2,512,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,21824.0,25197.0,20715.0,25851.0,21124.0,24156.0,21250.0,24353.0,21379.0,25149.0,20564.0,24717.0,21749.0,24718.0,20783.0,24498.0,21571.0,24829.0,1.824,297322.207,,,,,,,,,,
22,network-suite,3,32,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,68857.0,69532.0,71091.0,71183.0,68382.0,68810.0,70621.0,72124.0,71974.0,72292.0,68708.0,69032.0,73129.0,74106.0,68169.0,70053.0,72980.0,73001.0,3.585,847050.638,,,,,,,,,,
23,network-suite,3,16,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,10336.0,10358.0,10155.0,10164.0,10211.0,10228.0,10190.0,10200.0,10129.0,10136.0,10180.0,10197.0,10129.0,10135.0,10063.0,10077.0,10117.0,10149.0,0.5810000000000001,122158.30900000001,10107.0,10123.0,6500000.0,6600000.0,10737.0,10755.0,,,,
24,network-suite,3,64,12,6500000,6600000,6500000,6600000,6500000,6600000,6500000,6600000,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,6500000.0,6600000.0,0,0,44615.0,47010.0,43822.0,48834.0,44403.0,50460.0,46681.0,48070.0,45614.0,46380.0,43654.0,48335.0,44597.0,47011.0,45722.0,46564.0,44384.0,46596.0,1.403,576201.1730000001,,,,,,,,,,
