,runtype,nranks,epcnt,intvl,pvtcnt,run,total_io_time,load_std
352,carp-suite-interepoch-nowrite,256,3,1,512,13,82,0.042
372,carp-suite-interepoch-nowrite,256,3,1,512,14,84,0.042
355,carp-suite-interepoch-nowrite,256,3,1,512,15,90,0.055
361,carp-suite-interepoch-nowrite,256,3,1,512,16,84,0.038
381,carp-suite-interepoch-nowrite,256,3,1,512,17,84,0.042
366,carp-suite-interepoch-nowrite,256,3,1,512,18,93,0.052
371,carp-suite-interepoch-nowrite,256,3,1,512,19,87,0.072
391,carp-suite-interepoch-nowrite,256,3,1,512,20,94,0.038
392,carp-suite-interepoch-nowrite,256,3,1,2048,11,87,0.053
373,carp-suite-interepoch-nowrite,256,3,3,2048,11,127,0.055
394,carp-suite-interepoch-nowrite,512,1,1,512,12,36,0.61
359,carp-suite-interepoch-nowrite,512,1,1,512,13,33,0.514
382,carp-suite-interepoch-nowrite,512,1,1,512,14,35,0.559
351,carp-suite-interepoch-nowrite,512,1,1,512,15,31,0.433
354,carp-suite-interepoch-nowrite,512,1,1,512,16,35,0.593
362,carp-suite-interepoch-nowrite,512,1,1,512,17,40,0.581
367,carp-suite-interepoch-nowrite,512,1,1,512,18,32,0.507
390,carp-suite-interepoch-nowrite,512,1,1,512,19,30,0.348
347,carp-suite-interepoch-nowrite,512,1,1,512,20,30,0.371
363,carp-suite-interepoch-nowrite,512,1,1,2048,11,33,0.541
346,carp-suite-interepoch-nowrite,512,1,3,2048,11,79,0.513
376,carp-suite-interepoch-nowrite,1024,1,1,512,12,18,0.335
360,carp-suite-interepoch-nowrite,1024,1,1,512,13,19,0.136
384,carp-suite-interepoch-nowrite,1024,1,1,512,14,17,0.239
377,carp-suite-interepoch-nowrite,1024,1,1,512,15,18,0.404
375,carp-suite-interepoch-nowrite,1024,1,1,512,16,18,0.286
349,carp-suite-interepoch-nowrite,1024,1,1,512,17,17,0.293
358,carp-suite-interepoch-nowrite,1024,1,1,512,18,18,0.314
365,carp-suite-interepoch-nowrite,1024,1,1,512,19,17,0.261
348,carp-suite-interepoch-nowrite,1024,1,1,512,20,19,0.205
368,carp-suite-interepoch-nowrite,1024,1,1,2048,11,18,0.328
344,carp-suite-interepoch-nowrite,1024,1,3,2048,11,80,0.341
24,carp-suite-interpoch-skipsort,512,1,1,512,41,67,0.336
38,carp-suite-interpoch-skipsort,512,1,1,512,42,66,0.353
15,carp-suite-interpoch-skipsort,512,1,1,512,43,88,0.507
1,carp-suite-interpoch-skipsort,512,1,1,512,44,83,0.504
32,carp-suite-interpoch-skipsort,512,1,1,512,45,86,0.256
41,carp-suite-interpoch-skipsort,512,1,1,1024,41,57,0.482
36,carp-suite-interpoch-skipsort,512,1,1,1024,42,90,0.504
16,carp-suite-interpoch-skipsort,512,1,1,1024,43,107,0.544
